rule_id,record_id,utt_id,backend,synthesis_status,error_message,target_npz,source_probe_wav,target_probe_wav,duration_delta_ms,loudness_drift_db,clipping_ratio,f0_source_median_hz,f0_probe_median_hz,f0_drift_cents,source_target_emd,carrier_target_emd,carrier_target_shift_score,target_log_mel_mae,source_probe_self_emd
stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,1919_142785_000089_000003,torchaudio_wavernn_bridge_v1,ok,,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\libritts_r__female__masculine__1919_142785_000089_000003.npz,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_wavernn_domainadapt_smoke2\source_probe_wav\libritts_r__1919__1919_142785_000089_000003__11e66c65d9__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_wavernn_domainadapt_smoke2\target_probe_wav\libritts_r__1919__1919_142785_000089_000003__11e66c65d9__1919_142785_000089_000003.wav,5.714,3.416,0.001126,197.133,777.231,2375.01,0.040774,0.039072,52.09,2.371983,0.042478
stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,libritts_r__1995__1995_1826_000022_000000__82d5a66723,1995_1826_000022_000000,torchaudio_wavernn_bridge_v1,ok,,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\libritts_r__female__masculine__1995_1826_000022_000000.npz,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_wavernn_domainadapt_smoke2\source_probe_wav\libritts_r__1995__1995_1826_000022_000000__82d5a66723__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_wavernn_domainadapt_smoke2\target_probe_wav\libritts_r__1995__1995_1826_000022_000000__82d5a66723__1995_1826_000022_000000.wav,-4.444,3.425,0.004172,184.997,,,0.033922,0.107204,0.00,2.205834,0.036079
