rule_id,record_id,group_value,source_gender,target_direction,prototype_weight_sum,core_step_size,off_core_step_size,frame_smoothness_weight,max_bin_step,sim_original_to_target_emd,sim_edited_to_target_emd,sim_resonance_distribution_shift_score,sim_core_resonance_coverage_score,sim_over_localized_edit_penalty,sim_context_consistency_score,sim_frame_improvement_mean,sim_mean_frame_residual_l1,sim_core_support_width_bins,sim_delta_mass_in_core_ratio,sim_voiced_frame_count_used
stage0_speech_lsf_libritts_masculine_v7,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,LibriTTS-R,female,masculine,0.063721,0.550,0.100,0.300,0.0100,0.040774,0.037509,54.00,79.95,39.43,100.00,0.007476,0.102298,7,0.799547,402
stage0_speech_lsf_libritts_masculine_v7,libritts_r__1995__1995_1826_000022_000000__82d5a66723,LibriTTS-R,female,masculine,0.102937,0.550,0.100,0.300,0.0100,0.033922,0.031269,53.91,68.06,32.49,100.00,0.007353,0.105156,7,0.680591,572
stage0_speech_lsf_libritts_feminine_v7,libritts_r__174__174_50561_000024_000000__d665dc2840,LibriTTS-R,male,feminine,0.062269,0.550,0.100,0.300,0.0100,0.045674,0.041914,54.12,57.42,25.74,100.00,0.007065,0.104682,8,0.574213,385
stage0_speech_lsf_libritts_feminine_v7,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,LibriTTS-R,male,feminine,0.104389,0.550,0.100,0.300,0.0100,0.032772,0.030143,54.01,74.07,34.79,99.66,0.005941,0.090138,6,0.740745,292
stage0_speech_lsf_vctk_masculine_v7,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,VCTK Corpus 0.92,female,masculine,0.142990,0.550,0.100,0.300,0.0100,0.019670,0.017755,54.87,72.75,34.96,100.00,0.006666,0.122373,10,0.727542,500
stage0_speech_lsf_vctk_masculine_v7,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,VCTK Corpus 0.92,female,masculine,0.612401,0.550,0.100,0.300,0.0100,0.014656,0.013226,54.88,60.06,39.79,100.00,0.003875,0.096724,6,0.600636,256
stage0_speech_lsf_vctk_feminine_v7,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,VCTK Corpus 0.92,male,feminine,0.378698,0.550,0.100,0.300,0.0100,0.018391,0.017355,52.82,79.81,38.67,100.00,0.004458,0.112290,10,0.798080,517
stage0_speech_lsf_vctk_feminine_v7,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,VCTK Corpus 0.92,male,feminine,0.376693,0.550,0.100,0.300,0.0100,0.017215,0.015254,55.70,59.13,40.11,100.00,0.004162,0.093831,6,0.591312,754
