rule_id,record_id,utt_id,backend,synthesis_status,error_message,target_npz,source_probe_wav,target_probe_wav,duration_delta_ms,loudness_drift_db,clipping_ratio,f0_source_median_hz,f0_probe_median_hz,f0_drift_cents,source_target_emd,carrier_target_emd,carrier_target_shift_score,target_log_mel_mae,source_probe_self_emd
stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,1919_142785_000089_000003,bigvgan_local_v1,ok,,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\libritts_r__female__masculine__1919_142785_000089_000003.npz,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_bigvgan_11025_rmsmatch_pitchcorr150_cap300_full8\source_probe_wav\libritts_r__1919__1919_142785_000089_000003__11e66c65d9__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_bigvgan_11025_rmsmatch_pitchcorr150_cap300_full8\target_probe_wav\libritts_r__1919__1919_142785_000089_000003__11e66c65d9__1919_142785_000089_000003.wav,0.998,0.000,0.000087,197.133,211.282,120.00,0.040774,0.048671,40.32,1.015542,0.004009
stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,libritts_r__1995__1995_1826_000022_000000__82d5a66723,1995_1826_000022_000000,bigvgan_local_v1,ok,,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\libritts_r__female__masculine__1995_1826_000022_000000.npz,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_bigvgan_11025_rmsmatch_pitchcorr150_cap300_full8\source_probe_wav\libritts_r__1995__1995_1826_000022_000000__82d5a66723__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_bigvgan_11025_rmsmatch_pitchcorr150_cap300_full8\target_probe_wav\libritts_r__1995__1995_1826_000022_000000__82d5a66723__1995_1826_000022_000000.wav,-3.447,0.000,0.000705,184.997,192.631,70.00,0.033922,0.042187,37.82,0.912765,0.001920
stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,libritts_r__174__174_50561_000024_000000__d665dc2840,174_50561_000024_000000,bigvgan_local_v1,ok,,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\libritts_r__male__feminine__174_50561_000024_000000.npz,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_bigvgan_11025_rmsmatch_pitchcorr150_cap300_full8\source_probe_wav\libritts_r__174__174_50561_000024_000000__d665dc2840__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_bigvgan_11025_rmsmatch_pitchcorr150_cap300_full8\target_probe_wav\libritts_r__174__174_50561_000024_000000__d665dc2840__174_50561_000024_000000.wav,-0.181,0.000,0.000000,127.089,128.565,20.00,0.045674,0.035524,61.11,1.397881,0.007977
stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,2086_149214_000006_000002,bigvgan_local_v1,ok,,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\libritts_r__male__feminine__2086_149214_000006_000002.npz,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_bigvgan_11025_rmsmatch_pitchcorr150_cap300_full8\source_probe_wav\libritts_r__2086__2086_149214_000006_000002__23f1c25eb7__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_bigvgan_11025_rmsmatch_pitchcorr150_cap300_full8\target_probe_wav\libritts_r__2086__2086_149214_000006_000002__23f1c25eb7__2086_149214_000006_000002.wav,2.358,-0.000,0.000000,120.303,108.423,180.00,0.032772,0.022158,66.19,1.077990,0.002865
stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,p230_107_mic1,bigvgan_local_v1,ok,,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\vctk__female__masculine__p230_107_mic1.npz,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_bigvgan_11025_rmsmatch_pitchcorr150_cap300_full8\source_probe_wav\vctk_corpus_0_92__p230__p230_107_mic1__8330d16640__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_bigvgan_11025_rmsmatch_pitchcorr150_cap300_full8\target_probe_wav\vctk_corpus_0_92__p230__p230_107_mic1__8330d16640__p230_107_mic1.wav,-4.490,0.000,0.000000,105.033,128.195,345.01,0.014656,0.028003,4.47,1.347176,0.019318
stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,p231_011_mic1,bigvgan_local_v1,ok,,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\vctk__female__masculine__p231_011_mic1.npz,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_bigvgan_11025_rmsmatch_pitchcorr150_cap300_full8\source_probe_wav\vctk_corpus_0_92__p231__p231_011_mic1__986481509c__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_bigvgan_11025_rmsmatch_pitchcorr150_cap300_full8\target_probe_wav\vctk_corpus_0_92__p231__p231_011_mic1__986481509c__p231_011_mic1.wav,-2.993,0.000,0.000000,186.069,186.069,0.00,0.019670,0.019770,49.75,1.022955,0.014073
stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,p226_011_mic1,bigvgan_local_v1,ok,,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\vctk__male__feminine__p226_011_mic1.npz,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_bigvgan_11025_rmsmatch_pitchcorr150_cap300_full8\source_probe_wav\vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_bigvgan_11025_rmsmatch_pitchcorr150_cap300_full8\target_probe_wav\vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f__p226_011_mic1.wav,0.680,-0.000,0.000000,114.539,119.956,80.00,0.017215,0.031979,7.12,0.310043,0.010403
stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,p241_005_mic1,bigvgan_local_v1,ok,,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\vctk__male__feminine__p241_005_mic1.npz,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_bigvgan_11025_rmsmatch_pitchcorr150_cap300_full8\source_probe_wav\vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_bigvgan_11025_rmsmatch_pitchcorr150_cap300_full8\target_probe_wav\vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2__p241_005_mic1.wav,-0.454,-0.000,0.000000,114.539,137.793,320.00,0.018391,0.026914,26.83,1.039142,0.019929
