rule_id,record_id,utt_id,source_gender,target_direction,group_value,f0_condition,f0_median_hz,confidence,strength_label,alpha_default,alpha_max,action_family,rule_notes,summary_signature,input_audio,original_copy,processed_audio,original_mtime_ns,processed_mtime_ns,original_rms_dbfs,processed_rms_dbfs,delta_rms_dbfs,original_peak_dbfs,processed_peak_dbfs,delta_peak_dbfs,original_clipping_ratio,processed_clipping_ratio,delta_clipping_ratio,original_silence_ratio_40db,processed_silence_ratio_40db,delta_silence_ratio_40db,original_f0_voiced_ratio,processed_f0_voiced_ratio,delta_f0_voiced_ratio,original_f0_median_hz,processed_f0_median_hz,delta_f0_median_hz,delta_f0_median_pct,original_spectral_centroid_hz_mean,processed_spectral_centroid_hz_mean,delta_spectral_centroid_hz_mean,original_log_centroid_minus_log_f0,processed_log_centroid_minus_log_f0,delta_log_centroid_minus_log_f0,original_low_mid_0_1500_share_db,processed_low_mid_0_1500_share_db,delta_low_mid_0_1500_share_db,original_presence_1500_3000_share_db,processed_presence_1500_3000_share_db,delta_presence_1500_3000_share_db,original_brilliance_3000_8000_share_db,processed_brilliance_3000_8000_share_db,delta_brilliance_3000_8000_share_db,waveform_mean_abs_diff,waveform_max_abs_diff,stft_logmag_l1,auto_direction_score,auto_preservation_score,auto_effect_score,auto_quant_score,auto_direction_flag,auto_preservation_flag,auto_audibility_flag,auto_quant_grade,auto_quant_notes,review_status,direction_correct,effect_audible,artifact_issue,strength_fit,keep_recommendation,review_notes
stage0_speech_source_filter_residual_libritts_masculine_v1,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,1919_142785_000089_000003,female,masculine,LibriTTS-R,all,197.776687,diagnostic,diagnostic_source_filter_residual_v1,1.000,1.000,brightness_down,Source-filter residual v1：重点看 masculine 侧是否终于不再只是整体变暗，而是能同时带动 tract 和 harmonic residual proxy 往目标方向移动。,stage0_speech_source_filter_residual_libritts_masculine_v1|libritts_r__1919__1919_142785_000089_000003__11e66c65d9|1919_142785_000089_000003|female|masculine|LibriTTS-R|all|197.776687|diagnostic|diagnostic_source_filter_residual_v1|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1919\142785\1919_142785_000089_000003.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\original\libritts_r__female__masculine__sfres__1919_142785_000089_000003.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\processed\libritts_r__female__masculine__sfres__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1919\142785\1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\original\libritts_r__female__masculine__sfres__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\processed\libritts_r__female__masculine__sfres__1919_142785_000089_000003.wav,1774670031752551200,1774670048913852800,-15.753643,-15.753640,0.000003,-0.915503,-1.151663,-0.236160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.858506,0.855326,-0.003180,197.776687,198.208368,0.431681,0.218,1681.106148,1654.903578,-26.202570,0.929420,0.921651,-0.007769,-0.110258,-0.105808,0.004450,-17.751608,-17.946116,-0.194507,-21.553909,-21.651433,-0.097524,0.004119,0.060638,0.005890,13.60,100.00,13.34,39.45,fail,safe,weak,fail,direction_weak;effect_subtle,reviewed,,no,,,,
stage0_speech_source_filter_residual_libritts_masculine_v1,libritts_r__1995__1995_1826_000022_000000__82d5a66723,1995_1826_000022_000000,female,masculine,LibriTTS-R,all,188.323017,diagnostic,diagnostic_source_filter_residual_v1,1.000,1.000,brightness_down,Source-filter residual v1：重点看 masculine 侧是否终于不再只是整体变暗，而是能同时带动 tract 和 harmonic residual proxy 往目标方向移动。,stage0_speech_source_filter_residual_libritts_masculine_v1|libritts_r__1995__1995_1826_000022_000000__82d5a66723|1995_1826_000022_000000|female|masculine|LibriTTS-R|all|188.323017|diagnostic|diagnostic_source_filter_residual_v1|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1995\1826\1995_1826_000022_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\original\libritts_r__female__masculine__sfres__1995_1826_000022_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\processed\libritts_r__female__masculine__sfres__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1995\1826\1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\original\libritts_r__female__masculine__sfres__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\processed\libritts_r__female__masculine__sfres__1995_1826_000022_000000.wav,1774670048916645300,1774670072165300300,-14.996729,-14.996728,0.000001,-0.915503,-0.475323,0.440180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.871645,0.876313,0.004668,188.323017,187.868404,-0.454613,-0.241,1834.944651,1812.215862,-22.728789,0.988720,0.984356,-0.004363,-0.118128,-0.111398,0.006730,-21.363153,-21.464484,-0.101331,-17.891850,-18.166939,-0.275090,0.003340,0.061584,0.005814,7.64,100.00,8.69,35.61,fail,safe,weak,fail,direction_weak;effect_subtle,reviewed,,no,,,,
stage0_speech_source_filter_residual_libritts_feminine_v1,libritts_r__174__174_50561_000024_000000__d665dc2840,174_50561_000024_000000,male,feminine,LibriTTS-R,all,127.906902,diagnostic,diagnostic_source_filter_residual_v1,1.000,1.000,brightness_up,Source-filter residual v1：在低阶包络之外加入 voiced harmonic residual band proxy，验证 joint source+filter 表示是否终于能跨过 envelope-only 的不可辨阈值。,stage0_speech_source_filter_residual_libritts_feminine_v1|libritts_r__174__174_50561_000024_000000__d665dc2840|174_50561_000024_000000|male|feminine|LibriTTS-R|all|127.906902|diagnostic|diagnostic_source_filter_residual_v1|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\174\50561\174_50561_000024_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\original\libritts_r__male__feminine__sfres__174_50561_000024_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\processed\libritts_r__male__feminine__sfres__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\174\50561\174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\original\libritts_r__male__feminine__sfres__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\processed\libritts_r__male__feminine__sfres__174_50561_000024_000000.wav,1774670072170612600,1774670085602560700,-19.752349,-19.752347,0.000002,-0.915503,-0.911970,0.003533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.820513,0.847863,0.027350,127.906902,129.523597,1.616695,1.264,1794.238968,1827.566464,33.327496,1.146986,1.149524,0.002538,-0.239004,-0.256419,-0.017415,-14.587360,-14.473874,0.113486,-17.889491,-17.285106,0.604385,0.002744,0.050232,0.008521,22.57,100.00,25.75,46.59,fail,safe,weak,fail,direction_weak;effect_subtle,reviewed,,no,,,,
stage0_speech_source_filter_residual_libritts_feminine_v1,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,2086_149214_000006_000002,male,feminine,LibriTTS-R,all,121.500654,diagnostic,diagnostic_source_filter_residual_v1,1.000,1.000,brightness_up,Source-filter residual v1：在低阶包络之外加入 voiced harmonic residual band proxy，验证 joint source+filter 表示是否终于能跨过 envelope-only 的不可辨阈值。,stage0_speech_source_filter_residual_libritts_feminine_v1|libritts_r__2086__2086_149214_000006_000002__23f1c25eb7|2086_149214_000006_000002|male|feminine|LibriTTS-R|all|121.500654|diagnostic|diagnostic_source_filter_residual_v1|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2086\149214\2086_149214_000006_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\original\libritts_r__male__feminine__sfres__2086_149214_000006_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\processed\libritts_r__male__feminine__sfres__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2086\149214\2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\original\libritts_r__male__feminine__sfres__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\processed\libritts_r__male__feminine__sfres__2086_149214_000006_000002.wav,1774670085605598500,1774670096696207000,-22.191387,-22.191388,-0.000001,-0.915503,-0.913442,0.002061,0.000000,0.000000,0.000000,0.042553,0.042553,0.000000,0.695507,0.672213,-0.023294,121.500654,121.255585,-0.245069,-0.202,1886.762605,1909.399118,22.636513,1.191139,1.197195,0.006056,-0.295539,-0.302720,-0.007181,-13.095644,-13.047739,0.047905,-18.177167,-17.941942,0.235225,0.001570,0.052704,0.005111,17.66,100.00,17.65,42.36,fail,safe,weak,fail,direction_weak;effect_subtle,reviewed,,no,,,,
stage0_speech_source_filter_residual_vctk_masculine_v1,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,p231_011_mic1,female,masculine,VCTK Corpus 0.92,all,185.611475,diagnostic,diagnostic_source_filter_residual_v1,1.000,1.000,brightness_down,Source-filter residual v1：VCTK masculine 侧继续压住强度，优先看 joint residual 是否至少比 envelope-only 更容易跨过可辨阈值。,stage0_speech_source_filter_residual_vctk_masculine_v1|vctk_corpus_0_92__p231__p231_011_mic1__986481509c|p231_011_mic1|female|masculine|VCTK Corpus 0.92|all|185.611475|diagnostic|diagnostic_source_filter_residual_v1|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p231\p231_011_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\original\vctk__female__masculine__sfres__p231_011_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\processed\vctk__female__masculine__sfres__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p231\p231_011_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\original\vctk__female__masculine__sfres__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\processed\vctk__female__masculine__sfres__p231_011_mic1.wav,1774670096703404700,1774670119188009800,-25.362970,-25.362968,0.000002,-6.813270,-6.920801,-0.107531,0.000000,0.000000,0.000000,0.001721,0.001721,0.000000,0.659677,0.645161,-0.014516,185.611475,185.295624,-0.315851,-0.170,3794.253946,3780.959537,-13.294409,1.310522,1.309737,-0.000785,-0.300403,-0.295931,0.004472,-14.202592,-14.337281,-0.134688,-16.488102,-16.434750,0.053352,0.001165,0.027039,0.001709,1.37,100.00,2.89,31.34,fail,safe,weak,fail,direction_weak;effect_subtle,reviewed,,no,,,,
stage0_speech_source_filter_residual_vctk_masculine_v1,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,p230_107_mic1,female,masculine,VCTK Corpus 0.92,all,189.353497,diagnostic,diagnostic_source_filter_residual_v1,1.000,1.000,brightness_down,Source-filter residual v1：VCTK masculine 侧继续压住强度，优先看 joint residual 是否至少比 envelope-only 更容易跨过可辨阈值。,stage0_speech_source_filter_residual_vctk_masculine_v1|vctk_corpus_0_92__p230__p230_107_mic1__8330d16640|p230_107_mic1|female|masculine|VCTK Corpus 0.92|all|189.353497|diagnostic|diagnostic_source_filter_residual_v1|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\original\vctk__female__masculine__sfres__p230_107_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\processed\vctk__female__masculine__sfres__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\original\vctk__female__masculine__sfres__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\processed\vctk__female__masculine__sfres__p230_107_mic1.wav,1774670119194009100,1774670130771510700,-28.394677,-28.394685,-0.000008,-9.904260,-9.731070,0.173190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.550000,0.577500,0.027500,189.353497,191.039231,1.685734,0.890,3782.671221,3765.842333,-16.828888,1.300525,1.294740,-0.005786,-0.174650,-0.168921,0.005729,-16.561358,-16.588788,-0.027430,-18.839322,-19.091883,-0.252561,0.000909,0.017975,0.002089,10.12,100.00,9.65,36.97,fail,safe,weak,fail,direction_weak;effect_subtle,reviewed,,no,,,,
stage0_speech_source_filter_residual_vctk_feminine_v1,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,p241_005_mic1,male,feminine,VCTK Corpus 0.92,all,117.153849,diagnostic,diagnostic_source_filter_residual_v1,1.000,1.000,brightness_up,Source-filter residual v1：VCTK feminine 侧继续保守一点，避免把整体高频抬升误判成真正的 source+filter 结构变化。,stage0_speech_source_filter_residual_vctk_feminine_v1|vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2|p241_005_mic1|male|feminine|VCTK Corpus 0.92|all|117.153849|diagnostic|diagnostic_source_filter_residual_v1|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p241\p241_005_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\original\vctk__male__feminine__sfres__p241_005_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\processed\vctk__male__feminine__sfres__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p241\p241_005_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\original\vctk__male__feminine__sfres__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\processed\vctk__male__feminine__sfres__p241_005_mic1.wav,1774670130779940000,1774670150892002400,-23.725211,-23.725211,0.000000,-8.196070,-8.218574,-0.022504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.583601,0.583601,0.000000,117.153849,117.064471,-0.089378,-0.076,3713.909886,3737.002486,23.092600,1.501075,1.504098,0.003023,-0.183510,-0.191539,-0.008029,-17.504085,-17.314572,0.189513,-16.593781,-16.425212,0.168568,0.001158,0.027924,0.002268,10.35,100.00,11.92,37.64,fail,safe,weak,fail,direction_weak;effect_subtle,reviewed,,no,,,,
stage0_speech_source_filter_residual_vctk_feminine_v1,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,p226_011_mic1,male,feminine,VCTK Corpus 0.92,all,112.711009,diagnostic,diagnostic_source_filter_residual_v1,1.000,1.000,brightness_up,Source-filter residual v1：VCTK feminine 侧继续保守一点，避免把整体高频抬升误判成真正的 source+filter 结构变化。,stage0_speech_source_filter_residual_vctk_feminine_v1|vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f|p226_011_mic1|male|feminine|VCTK Corpus 0.92|all|112.711009|diagnostic|diagnostic_source_filter_residual_v1|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_011_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\original\vctk__male__feminine__sfres__p226_011_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\processed\vctk__male__feminine__sfres__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_011_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\original\vctk__male__feminine__sfres__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_source_filter_residual_listening_pack\v1\processed\vctk__male__feminine__sfres__p226_011_mic1.wav,1774670150903352400,1774670178261489000,-23.776042,-23.776041,0.000001,-4.496733,-3.560612,0.936121,0.000000,0.000000,0.000000,0.043814,0.042526,-0.001288,0.582126,0.579710,-0.002416,112.711009,112.689843,-0.021166,-0.019,3717.458364,3756.990207,39.531843,1.518280,1.522955,0.004676,-0.303287,-0.333847,-0.030560,-14.033370,-13.600578,0.432793,-15.858843,-15.522416,0.336427,0.002113,0.070251,0.004067,18.27,100.00,21.21,43.53,fail,safe,weak,fail,direction_weak;effect_subtle,reviewed,,no,,,,
