rule_id,record_id,utt_id,source_gender,target_direction,group_value,f0_condition,f0_median_hz,confidence,strength_label,alpha_default,alpha_max,action_family,rule_notes,summary_signature,input_audio,original_copy,processed_audio,original_mtime_ns,processed_mtime_ns,original_rms_dbfs,processed_rms_dbfs,delta_rms_dbfs,original_peak_dbfs,processed_peak_dbfs,delta_peak_dbfs,original_clipping_ratio,processed_clipping_ratio,delta_clipping_ratio,original_silence_ratio_40db,processed_silence_ratio_40db,delta_silence_ratio_40db,original_f0_voiced_ratio,processed_f0_voiced_ratio,delta_f0_voiced_ratio,original_f0_median_hz,processed_f0_median_hz,delta_f0_median_hz,delta_f0_median_pct,original_spectral_centroid_hz_mean,processed_spectral_centroid_hz_mean,delta_spectral_centroid_hz_mean,original_log_centroid_minus_log_f0,processed_log_centroid_minus_log_f0,delta_log_centroid_minus_log_f0,original_low_mid_0_1500_share_db,processed_low_mid_0_1500_share_db,delta_low_mid_0_1500_share_db,original_presence_1500_3000_share_db,processed_presence_1500_3000_share_db,delta_presence_1500_3000_share_db,original_brilliance_3000_8000_share_db,processed_brilliance_3000_8000_share_db,delta_brilliance_3000_8000_share_db,waveform_mean_abs_diff,waveform_max_abs_diff,stft_logmag_l1,auto_direction_score,auto_preservation_score,auto_effect_score,auto_quant_score,auto_direction_flag,auto_preservation_flag,auto_audibility_flag,auto_quant_grade,auto_quant_notes,review_status,direction_correct,effect_audible,artifact_issue,strength_fit,keep_recommendation,review_notes
stage0_speech_lsf_libritts_masculine_fem_focus_v8d,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,1919_142785_000089_000003,female,masculine,LibriTTS-R,all,197.776687,diagnostic,fem_focus_v8d,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：沿用 v6 的 lower-formant geometry + pair-width 路线，但针对 8/8 too_weak 把 F2 与 pair-width 再推一档，同时继续避免 broad dark tilt。 [machine_sweep=fem_focus_v8d],stage0_speech_lsf_libritts_masculine_fem_focus_v8d|libritts_r__1919__1919_142785_000089_000003__11e66c65d9|1919_142785_000089_000003|female|masculine|LibriTTS-R|all|197.776687|diagnostic|fem_focus_v8d|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1919\142785\1919_142785_000089_000003.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\original\libritts_r__female__masculine__lsf__1919_142785_000089_000003.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\processed\libritts_r__female__masculine__lsf__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1919\142785\1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\original\libritts_r__female__masculine__lsf__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\processed\libritts_r__female__masculine__lsf__1919_142785_000089_000003.wav,1774760486921605100,1774760488844495600,-15.753643,-15.753640,0.000003,-0.915503,-1.397226,-0.481723,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.858506,0.869634,0.011128,197.776687,196.443743,-1.332944,-0.674,1681.106148,1515.534670,-165.571478,0.929420,0.887328,-0.042092,-0.110258,-0.050455,0.059803,-17.751608,-23.009300,-5.257692,-21.553909,-22.580754,-1.026845,0.026927,0.583099,0.050424,70.00,73.68,100.00,78.60,pass,borderline,likely,pass,presence_drop_gt_1p5db;brilliance_drop_gt_0p5db,pending,,,,,,
stage0_speech_lsf_libritts_masculine_fem_focus_v8d,libritts_r__1995__1995_1826_000022_000000__82d5a66723,1995_1826_000022_000000,female,masculine,LibriTTS-R,all,188.323017,diagnostic,fem_focus_v8d,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：沿用 v6 的 lower-formant geometry + pair-width 路线，但针对 8/8 too_weak 把 F2 与 pair-width 再推一档，同时继续避免 broad dark tilt。 [machine_sweep=fem_focus_v8d],stage0_speech_lsf_libritts_masculine_fem_focus_v8d|libritts_r__1995__1995_1826_000022_000000__82d5a66723|1995_1826_000022_000000|female|masculine|LibriTTS-R|all|188.323017|diagnostic|fem_focus_v8d|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1995\1826\1995_1826_000022_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\original\libritts_r__female__masculine__lsf__1995_1826_000022_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\processed\libritts_r__female__masculine__lsf__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1995\1826\1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\original\libritts_r__female__masculine__lsf__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\processed\libritts_r__female__masculine__lsf__1995_1826_000022_000000.wav,1774760488847747100,1774760491107995300,-14.996729,-15.049339,-0.052610,-0.915503,-0.175381,0.740122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.871645,0.882147,0.010502,188.323017,187.582398,-0.740619,-0.393,1834.944651,1671.035639,-163.909012,0.988720,0.949794,-0.038926,-0.118128,-0.086251,0.031877,-21.363153,-28.568936,-7.205783,-17.891850,-18.196514,-0.304664,0.027031,0.323608,0.044795,70.00,80.00,100.00,80.50,pass,safe,likely,strong_pass,presence_drop_gt_1p5db,pending,,,,,,
stage0_speech_lsf_libritts_feminine_fem_focus_v8d,libritts_r__174__174_50561_000024_000000__d665dc2840,174_50561_000024_000000,male,feminine,LibriTTS-R,all,127.906902,diagnostic,fem_focus_v8d,1.000,1.000,brightness_up,LSF feminine v7：针对 v6 听审 8/8 too_weak，把 v6 已相对稳定的 feminine 路径整体提强一档，避免新包再次因统一偏弱浪费人审。 [machine_sweep=fem_focus_v8d],stage0_speech_lsf_libritts_feminine_fem_focus_v8d|libritts_r__174__174_50561_000024_000000__d665dc2840|174_50561_000024_000000|male|feminine|LibriTTS-R|all|127.906902|diagnostic|fem_focus_v8d|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\174\50561\174_50561_000024_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\original\libritts_r__male__feminine__lsf__174_50561_000024_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\processed\libritts_r__male__feminine__lsf__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\174\50561\174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\original\libritts_r__male__feminine__lsf__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\processed\libritts_r__male__feminine__lsf__174_50561_000024_000000.wav,1774760491110636100,1774760492624849700,-19.752349,-21.437037,-1.684688,-0.915503,-0.175652,0.739851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.820513,0.856410,0.035897,127.906902,129.960195,2.053293,1.605,1794.238968,2351.440892,557.201924,1.146986,1.257524,0.110537,-0.239004,-0.694828,-0.455824,-14.587360,-10.252699,4.334660,-17.889491,-12.986244,4.903247,0.039636,0.771423,0.084540,100.00,86.07,100.00,95.82,pass,safe,likely,strong_pass,rms_drift_gt_1p5db,pending,,,,,,
stage0_speech_lsf_libritts_feminine_fem_focus_v8d,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,2086_149214_000006_000002,male,feminine,LibriTTS-R,all,121.500654,diagnostic,fem_focus_v8d,1.000,1.000,brightness_up,LSF feminine v7：针对 v6 听审 8/8 too_weak，把 v6 已相对稳定的 feminine 路径整体提强一档，避免新包再次因统一偏弱浪费人审。 [machine_sweep=fem_focus_v8d],stage0_speech_lsf_libritts_feminine_fem_focus_v8d|libritts_r__2086__2086_149214_000006_000002__23f1c25eb7|2086_149214_000006_000002|male|feminine|LibriTTS-R|all|121.500654|diagnostic|fem_focus_v8d|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2086\149214\2086_149214_000006_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\original\libritts_r__male__feminine__lsf__2086_149214_000006_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\processed\libritts_r__male__feminine__lsf__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2086\149214\2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\original\libritts_r__male__feminine__lsf__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\processed\libritts_r__male__feminine__lsf__2086_149214_000006_000002.wav,1774760492628108600,1774760495344855700,-22.191387,-22.191387,0.000000,-0.915503,-0.749508,0.165995,0.000000,0.000000,0.000000,0.042553,0.017730,-0.024823,0.695507,0.643927,-0.051580,121.500654,121.817466,0.316812,0.261,1886.762605,2380.296962,493.534357,1.191139,1.290922,0.099783,-0.295539,-0.975595,-0.680056,-13.095644,-8.833010,4.262634,-18.177167,-11.685972,6.491195,0.025204,1.025787,0.080383,100.00,99.75,100.00,99.92,pass,safe,likely,strong_pass,,pending,,,,,,
stage0_speech_lsf_vctk_masculine_fem_focus_v8d,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,p231_011_mic1,female,masculine,VCTK Corpus 0.92,all,185.611475,diagnostic,fem_focus_v8d,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：继续保持 preserve-air 几何式 male 代理，并把 VCTK masculine 强度提高到与新的正式人审门槛相匹配。 [machine_sweep=fem_focus_v8d],stage0_speech_lsf_vctk_masculine_fem_focus_v8d|vctk_corpus_0_92__p231__p231_011_mic1__986481509c|p231_011_mic1|female|masculine|VCTK Corpus 0.92|all|185.611475|diagnostic|fem_focus_v8d|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p231\p231_011_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\original\vctk__female__masculine__lsf__p231_011_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\processed\vctk__female__masculine__lsf__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p231\p231_011_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\original\vctk__female__masculine__lsf__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\processed\vctk__female__masculine__lsf__p231_011_mic1.wav,1774760495355598400,1774760499817909200,-25.362970,-25.362970,0.000000,-6.813270,-8.080388,-1.267118,0.000000,0.000000,0.000000,0.001721,0.001721,0.000000,0.659677,0.656452,-0.003225,185.611475,185.951723,0.340248,0.183,3794.253946,3587.131384,-207.122562,1.310522,1.285347,-0.025174,-0.300403,-0.169832,0.130571,-14.202592,-18.499344,-4.296752,-16.488102,-17.473452,-0.985349,0.011509,0.335205,0.016206,70.00,74.18,100.00,78.75,pass,borderline,likely,pass,presence_drop_gt_1p5db;brilliance_drop_gt_0p5db,pending,,,,,,
stage0_speech_lsf_vctk_masculine_fem_focus_v8d,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,p230_107_mic1,female,masculine,VCTK Corpus 0.92,all,189.353497,diagnostic,fem_focus_v8d,1.000,1.000,formant_lowering_preserve_air,LSF masculine v7：继续保持 preserve-air 几何式 male 代理，并把 VCTK masculine 强度提高到与新的正式人审门槛相匹配。 [machine_sweep=fem_focus_v8d],stage0_speech_lsf_vctk_masculine_fem_focus_v8d|vctk_corpus_0_92__p230__p230_107_mic1__8330d16640|p230_107_mic1|female|masculine|VCTK Corpus 0.92|all|189.353497|diagnostic|fem_focus_v8d|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\original\vctk__female__masculine__lsf__p230_107_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\processed\vctk__female__masculine__lsf__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\original\vctk__female__masculine__lsf__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\processed\vctk__female__masculine__lsf__p230_107_mic1.wav,1774760499824492200,1774760501997248900,-28.394677,-28.394675,0.000002,-9.904260,-9.644546,0.259714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.550000,0.497500,-0.052500,189.353497,191.610596,2.257099,1.192,3782.671221,3600.588117,-182.083104,1.300525,1.273954,-0.026571,-0.174650,-0.086751,0.087899,-16.561358,-21.265386,-4.704028,-18.839322,-20.616728,-1.777406,0.007334,0.145081,0.014470,70.00,64.27,100.00,75.78,pass,borderline,likely,pass,presence_drop_gt_1p5db;brilliance_drop_gt_0p5db,pending,,,,,,
stage0_speech_lsf_vctk_feminine_fem_focus_v8d,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,p241_005_mic1,male,feminine,VCTK Corpus 0.92,all,117.153849,diagnostic,fem_focus_v8d,1.000,1.000,brightness_up,LSF feminine v7：同步提高 VCTK feminine 强度，避免整包出现只补 masculine、而 feminine 侧继续普遍偏弱的失衡。 [machine_sweep=fem_focus_v8d],stage0_speech_lsf_vctk_feminine_fem_focus_v8d|vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2|p241_005_mic1|male|feminine|VCTK Corpus 0.92|all|117.153849|diagnostic|fem_focus_v8d|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p241\p241_005_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\original\vctk__male__feminine__lsf__p241_005_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\processed\vctk__male__feminine__lsf__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p241\p241_005_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\original\vctk__male__feminine__lsf__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\processed\vctk__male__feminine__lsf__p241_005_mic1.wav,1774760502001854100,1774760505905829100,-23.725211,-23.725213,-0.000002,-8.196070,-5.492524,2.703546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.583601,0.594855,0.011254,117.153849,117.826955,0.673106,0.575,3713.909886,4204.044339,490.134453,1.501075,1.552423,0.051348,-0.183510,-0.377277,-0.193767,-17.504085,-14.808631,2.695454,-16.593781,-13.205899,3.387881,0.031688,0.454895,0.035534,100.00,100.00,100.00,100.00,pass,safe,likely,strong_pass,,pending,,,,,,
stage0_speech_lsf_vctk_feminine_fem_focus_v8d,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,p226_011_mic1,male,feminine,VCTK Corpus 0.92,all,112.711009,diagnostic,fem_focus_v8d,1.000,1.000,brightness_up,LSF feminine v7：同步提高 VCTK feminine 强度，避免整包出现只补 masculine、而 feminine 侧继续普遍偏弱的失衡。 [machine_sweep=fem_focus_v8d],stage0_speech_lsf_vctk_feminine_fem_focus_v8d|vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f|p226_011_mic1|male|feminine|VCTK Corpus 0.92|all|112.711009|diagnostic|fem_focus_v8d|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_011_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\original\vctk__male__feminine__lsf__p226_011_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\processed\vctk__male__feminine__lsf__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_011_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\original\vctk__male__feminine__lsf__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v8\fem_focus_v8d\processed\vctk__male__feminine__lsf__p226_011_mic1.wav,1774760505914757200,1774760511776578600,-23.776042,-23.776044,-0.000002,-4.496733,-1.725585,2.771148,0.000000,0.000000,0.000000,0.043814,0.042526,-0.001288,0.582126,0.568841,-0.013285,112.711009,113.167190,0.456181,0.405,3717.458364,4146.713523,429.255159,1.518280,1.563984,0.045704,-0.303287,-0.574356,-0.271069,-14.033370,-11.424185,2.609185,-15.858843,-13.073573,2.785270,0.022356,0.508240,0.030983,100.00,100.00,100.00,100.00,pass,safe,likely,strong_pass,,pending,,,,,,
