rule_id,record_id,group_value,source_gender,target_direction,original_copy,observed_processed_audio,reconstructed_audio,core_step_size,off_core_step_size,frame_smoothness_weight,max_bin_step,prototype_weight_sum,fit_voiced_frame_count,fit_success_rate,frame_passthrough_rate,mean_target_fit_l1,mean_core_fit_l1,mean_highband_preservation_error,mean_lsf_movement_hz,mean_pair1_center_ratio,mean_pair2_center_ratio,mean_pair3_center_ratio,mean_pair1_width_ratio,mean_pair2_width_ratio,mean_pair3_width_ratio,original_to_target_emd,reconstructed_to_target_emd,reconstructed_resonance_distribution_shift_score,reconstructed_core_resonance_coverage_score,reconstructed_over_localized_edit_penalty,reconstructed_context_consistency_score,reconstructed_frame_improvement_mean,observed_resonance_distribution_shift_score,observed_core_resonance_coverage_score,observed_over_localized_edit_penalty,observed_context_consistency_score,observed_frame_improvement_mean,delta_shift_vs_observed,delta_coverage_vs_observed,delta_penalty_vs_observed,delta_frame_improvement_vs_observed,original_rms_dbfs,reconstructed_rms_dbfs,delta_rms_dbfs,original_f0_voiced_ratio,reconstructed_f0_voiced_ratio,delta_f0_voiced_ratio,original_f0_median_hz,reconstructed_f0_median_hz,delta_f0_median_hz,delta_f0_median_pct,original_spectral_centroid_hz_mean,reconstructed_spectral_centroid_hz_mean,delta_spectral_centroid_hz_mean,original_presence_1500_3000_share_db,reconstructed_presence_1500_3000_share_db,delta_presence_1500_3000_share_db,original_brilliance_3000_8000_share_db,reconstructed_brilliance_3000_8000_share_db,delta_brilliance_3000_8000_share_db,waveform_mean_abs_diff,waveform_max_abs_diff,stft_logmag_l1
stage0_speech_lsf_libritts_masculine_v7,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,LibriTTS-R,female,masculine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\libritts_r__female__masculine__lsf__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\libritts_r__female__masculine__lsf__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v2\reconstructed\libritts_r__female__masculine__atrr_lsf__1919_142785_000089_000003.wav,0.500,0.150,0.300,0.0085,0.063721,505,0.1644,0.8356,0.013620,0.106187,0.000142,0.148006,0.9999,0.9999,1.0000,1.0019,1.0001,1.0001,0.040774,0.040555,50.27,76.79,46.07,46.00,0.000114,51.04,42.67,25.83,50.00,-0.002936,-0.77,34.12,20.24,0.003050,-15.753643,-15.753643,0.000000,0.858506,0.858506,0.000000,197.776687,198.661223,0.884536,0.447,1681.106148,1681.163841,0.057693,-17.751355,-17.734775,0.016580,-21.553867,-21.538832,0.015035,0.001549,0.150618,0.001862
stage0_speech_lsf_libritts_masculine_v7,libritts_r__1995__1995_1826_000022_000000__82d5a66723,LibriTTS-R,female,masculine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\libritts_r__female__masculine__lsf__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\libritts_r__female__masculine__lsf__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v2\reconstructed\libritts_r__female__masculine__atrr_lsf__1995_1826_000022_000000.wav,0.500,0.150,0.300,0.0085,0.102937,701,0.1327,0.8673,0.014290,0.099955,0.000152,0.117005,1.0000,0.9999,1.0000,1.0014,1.0002,1.0001,0.033922,0.033691,50.34,87.49,47.37,49.74,-0.000015,45.31,30.56,21.78,45.81,-0.000464,5.03,56.93,25.59,0.000449,-14.996729,-14.996728,0.000001,0.871645,0.873979,0.002334,188.323017,188.130272,-0.192745,-0.102,1834.944651,1837.820438,2.875787,-21.363218,-21.308756,0.054462,-17.891840,-17.853412,0.038429,0.002846,0.415486,0.002138
stage0_speech_lsf_libritts_feminine_v7,libritts_r__174__174_50561_000024_000000__d665dc2840,LibriTTS-R,male,feminine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\libritts_r__male__feminine__lsf__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\libritts_r__male__feminine__lsf__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v2\reconstructed\libritts_r__male__feminine__atrr_lsf__174_50561_000024_000000.wav,0.500,0.150,0.300,0.0085,0.062269,448,0.2232,0.7768,0.013507,0.071899,0.000133,0.140010,1.0007,1.0000,1.0000,1.0029,1.0001,1.0000,0.045674,0.045602,50.08,80.00,36.94,60.26,0.000233,35.77,42.31,18.62,53.74,-0.007261,14.31,37.69,18.32,0.007494,-19.752349,-19.752349,0.000000,0.820513,0.830769,0.010256,127.906902,128.076327,0.169425,0.132,1794.238968,1804.834006,10.595038,-14.586971,-14.527412,0.059559,-17.889405,-17.844685,0.044720,0.001699,0.115648,0.001724
stage0_speech_lsf_libritts_feminine_v7,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,LibriTTS-R,male,feminine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\libritts_r__male__feminine__lsf__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\libritts_r__male__feminine__lsf__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v2\reconstructed\libritts_r__male__feminine__atrr_lsf__2086_149214_000006_000002.wav,0.500,0.150,0.300,0.0085,0.104389,391,0.2455,0.7545,0.012889,0.095547,0.000047,0.082636,1.0003,1.0000,1.0000,1.0014,1.0001,1.0000,0.032772,0.032532,50.37,61.64,32.10,56.16,0.000053,26.96,36.83,17.98,44.76,-0.009977,23.41,24.81,14.12,0.010030,-22.191387,-22.191387,0.000000,0.695507,0.695507,0.000000,121.500654,121.666112,0.165458,0.136,1886.762605,1888.234540,1.471935,-13.095536,-13.079964,0.015572,-18.177207,-18.158743,0.018463,0.000481,0.050807,0.000569
stage0_speech_lsf_vctk_masculine_v7,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,VCTK Corpus 0.92,female,masculine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\vctk__female__masculine__lsf__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\vctk__female__masculine__lsf__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v2\reconstructed\vctk__female__masculine__atrr_lsf__p231_011_mic1.wav,0.500,0.150,0.300,0.0085,0.142990,767,0.2347,0.7653,0.012914,0.058244,0.000040,0.060083,0.9996,1.0000,1.0000,1.0026,1.0001,1.0000,0.019670,0.019466,50.52,70.06,36.56,42.80,-0.000046,53.93,61.91,28.47,62.83,0.002843,-3.41,8.15,8.09,-0.002889,-25.362970,-25.362969,0.000001,0.659677,0.666129,0.006452,185.611475,185.611466,-0.000009,-0.000,3794.253946,3801.710935,7.456989,-14.202583,-14.203896,-0.001313,-16.488064,-16.489027,-0.000962,0.000291,0.043011,0.000149
stage0_speech_lsf_vctk_masculine_v7,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,VCTK Corpus 0.92,female,masculine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\vctk__female__masculine__lsf__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\vctk__female__masculine__lsf__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v2\reconstructed\vctk__female__masculine__atrr_lsf__p230_107_mic1.wav,0.500,0.150,0.300,0.0085,0.612401,413,0.1961,0.8039,0.013272,0.090479,0.000013,0.043772,1.0000,1.0000,1.0000,1.0006,1.0000,1.0000,0.014656,0.014390,50.91,69.48,46.47,45.31,0.000003,36.02,30.05,26.42,34.21,-0.003596,14.89,39.43,20.05,0.003599,-28.394677,-28.394677,0.000000,0.550000,0.552500,0.002500,189.353497,188.327003,-1.026494,-0.542,3782.671221,3797.629202,14.957981,-16.561353,-16.562091,-0.000739,-18.839309,-18.840075,-0.000766,0.000055,0.007721,0.000110
stage0_speech_lsf_vctk_feminine_v7,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,VCTK Corpus 0.92,male,feminine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\vctk__male__feminine__lsf__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\vctk__male__feminine__lsf__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v2\reconstructed\vctk__male__feminine__atrr_lsf__p241_005_mic1.wav,0.500,0.150,0.300,0.0085,0.378698,681,0.4126,0.5874,0.011610,0.054876,0.000037,0.096109,1.0020,1.0000,1.0000,1.0121,1.0002,1.0001,0.018391,0.018614,49.39,86.52,44.26,35.59,-0.000065,16.41,74.76,35.29,22.75,-0.010689,32.98,11.76,8.97,0.010624,-23.725213,-23.725212,0.000001,0.583601,0.596463,0.012862,117.153849,117.434020,0.280171,0.239,3713.909886,3714.845071,0.935185,-17.504322,-17.497368,0.006954,-16.593773,-16.594490,-0.000718,0.000368,0.016400,0.000198
stage0_speech_lsf_vctk_feminine_v7,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,VCTK Corpus 0.92,male,feminine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\vctk__male__feminine__lsf__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\vctk__male__feminine__lsf__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v2\reconstructed\vctk__male__feminine__atrr_lsf__p226_011_mic1.wav,0.500,0.150,0.300,0.0085,0.376693,903,0.3056,0.6944,0.010611,0.073134,0.000057,0.165328,1.0039,1.0000,1.0000,1.0067,1.0002,1.0000,0.017215,0.017140,50.22,56.28,49.46,60.21,0.000154,41.70,51.15,35.22,43.83,-0.005726,8.52,5.13,14.24,0.005880,-23.776042,-23.776042,0.000000,0.582126,0.579710,-0.002416,112.711009,112.966883,0.255874,0.227,3717.458364,3721.493729,4.035365,-14.033268,-14.026535,0.006733,-15.858823,-15.853487,0.005336,0.000574,0.029185,0.000279
