rule_id,record_id,group_value,source_gender,target_direction,review_status,effect_audible,strength_fit,original_to_target_emd,processed_to_target_emd,resonance_distribution_shift_score,core_resonance_coverage_score,over_localized_edit_penalty,context_consistency_score,frame_improvement_mean,target_prototype_weight_sum,target_prototype_f0_median_hz,core_support_width_bins,delta_mass_in_core_ratio,voiced_frame_count_used
stage0_speech_lsf_libritts_masculine_v7,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,LibriTTS-R,female,masculine,reviewed,yes,too_weak,0.040774,0.039923,51.04,42.67,25.83,50.00,-0.002936,0.063721,124.570719,7,0.426706,390
stage0_speech_lsf_libritts_masculine_v7,libritts_r__1995__1995_1826_000022_000000__82d5a66723,LibriTTS-R,female,masculine,reviewed,yes,too_weak,0.033922,0.037104,45.31,30.56,21.78,45.81,-0.000464,0.102937,124.570719,7,0.305588,561
stage0_speech_lsf_libritts_feminine_v7,libritts_r__174__174_50561_000024_000000__d665dc2840,LibriTTS-R,male,feminine,reviewed,yes,too_weak,0.045674,0.058677,35.77,42.31,18.62,53.74,-0.007261,0.062269,190.798790,8,0.423059,374
stage0_speech_lsf_libritts_feminine_v7,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,LibriTTS-R,male,feminine,reviewed,yes,too_weak,0.032772,0.047873,26.96,36.83,17.98,44.76,-0.009977,0.104389,190.798790,6,0.368299,248
stage0_speech_lsf_vctk_masculine_v7,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,VCTK Corpus 0.92,female,masculine,reviewed,yes,too_weak,0.019670,0.018126,53.93,61.91,28.47,62.83,0.002843,0.142990,114.704716,10,0.619106,487
stage0_speech_lsf_vctk_masculine_v7,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,VCTK Corpus 0.92,female,masculine,reviewed,maybe,too_weak,0.014656,0.018755,36.02,30.05,26.42,34.21,-0.003596,0.612401,114.704716,6,0.300481,228
stage0_speech_lsf_vctk_feminine_v7,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,VCTK Corpus 0.92,male,feminine,reviewed,yes,too_weak,0.018391,0.030748,16.41,74.76,35.29,22.75,-0.010689,0.378698,146.089676,10,0.747577,488
stage0_speech_lsf_vctk_feminine_v7,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,VCTK Corpus 0.92,male,feminine,reviewed,yes,too_weak,0.017215,0.020074,41.70,51.15,35.22,43.83,-0.005726,0.376693,146.089676,6,0.511521,746
