record_id,rule_id,target_npz,target_npz_sample_rate,latent_delta_rms,latent_delta_abs_mean,final_delta_loss,final_frame_kl,final_utt_kl,final_energy_l1,final_wave_l1,core_mask_ratio,distribution_weight_mean
libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\libritts_r__female__masculine__1919_142785_000089_000003.npz,24000,0.018939,0.012668,0.032786,4.664290,0.960768,3.640316,0.000824,0.050000,0.084028
libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\libritts_r__female__masculine__1995_1826_000022_000000.npz,24000,0.018326,0.012560,0.021002,4.381824,0.427462,3.652503,0.000797,0.050000,0.087595
libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\libritts_r__male__feminine__174_50561_000024_000000.npz,24000,0.018971,0.012710,0.014364,2.286972,0.172196,3.630999,0.000749,0.062500,0.083567
libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\libritts_r__male__feminine__2086_149214_000006_000002.npz,24000,0.017879,0.010255,0.014995,1.815720,0.167722,3.666361,0.000534,0.062500,0.060598
vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\vctk__female__masculine__p231_011_mic1.npz,48000,0.013661,0.007171,0.018007,3.899717,0.636767,3.726488,0.000325,0.062500,0.054257
vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\vctk__female__masculine__p230_107_mic1.npz,48000,0.010063,0.004663,0.021055,3.382591,0.989934,3.620578,0.000201,0.062500,0.040594
vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\vctk__male__feminine__p241_005_mic1.npz,48000,0.014195,0.007421,0.013812,1.985567,0.546682,3.699747,0.000635,0.075000,0.053387
vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\vctk__male__feminine__p226_011_mic1.npz,48000,0.013946,0.007499,0.016867,2.541349,0.212540,3.656158,0.000394,0.062500,0.057086
