record_id,rule_id,target_npz,target_npz_sample_rate,latent_delta_rms,latent_delta_abs_mean,final_frame_kl,final_utt_kl,final_energy_l1,final_wave_l1
libritts_r__1919__1919_142785_000089_000003__11e66c65d9,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\libritts_r__female__masculine__1919_142785_000089_000003.npz,24000,0.037369,0.027072,4.432704,0.932691,3.639118,0.001654
libritts_r__1995__1995_1826_000022_000000__82d5a66723,stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\libritts_r__female__masculine__1995_1826_000022_000000.npz,24000,0.032679,0.022798,4.203031,0.456138,3.656863,0.001349
libritts_r__174__174_50561_000024_000000__d665dc2840,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\libritts_r__male__feminine__174_50561_000024_000000.npz,24000,0.040252,0.029754,2.205735,0.183252,3.624215,0.001501
libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\libritts_r__male__feminine__2086_149214_000006_000002.npz,24000,0.027846,0.016324,1.754976,0.146730,3.662814,0.000757
vctk_corpus_0_92__p231__p231_011_mic1__986481509c,stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\vctk__female__masculine__p231_011_mic1.npz,48000,0.028267,0.015082,3.723270,0.561162,3.735445,0.000571
vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\vctk__female__masculine__p230_107_mic1.npz,48000,0.023745,0.011563,3.175993,0.834126,3.636312,0.000377
vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\vctk__male__feminine__p241_005_mic1.npz,48000,0.029654,0.016552,1.907475,0.541228,3.700772,0.000861
vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\vctk__male__feminine__p226_011_mic1.npz,48000,0.028653,0.016535,2.400000,0.218483,3.658668,0.000918
