rule_id,record_id,group_value,source_gender,target_direction,prototype_weight_sum,core_step_size,off_core_step_size,frame_smoothness_weight,max_bin_step,sim_original_to_target_emd,sim_edited_to_target_emd,sim_resonance_distribution_shift_score,sim_core_resonance_coverage_score,sim_over_localized_edit_penalty,sim_context_consistency_score,sim_frame_improvement_mean,sim_mean_frame_residual_l1,sim_core_support_width_bins,sim_delta_mass_in_core_ratio,sim_voiced_frame_count_used
stage0_speech_lsf_libritts_masculine_v7,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,LibriTTS-R,female,masculine,0.063721,0.500,0.150,0.300,0.0085,0.040774,0.035693,56.23,71.19,34.98,100.00,0.009805,0.108725,7,0.711928,402
stage0_speech_lsf_libritts_masculine_v7,libritts_r__1995__1995_1826_000022_000000__82d5a66723,LibriTTS-R,female,masculine,0.102937,0.500,0.150,0.300,0.0085,0.033922,0.029442,56.60,60.44,28.01,100.00,0.009541,0.111041,7,0.604404,572
stage0_speech_lsf_libritts_feminine_v7,libritts_r__174__174_50561_000024_000000__d665dc2840,LibriTTS-R,male,feminine,0.062269,0.500,0.150,0.300,0.0085,0.045674,0.041815,54.23,51.37,21.62,100.00,0.008172,0.106339,8,0.513724,385
stage0_speech_lsf_libritts_feminine_v7,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,LibriTTS-R,male,feminine,0.104389,0.500,0.150,0.300,0.0085,0.032772,0.030161,53.98,64.87,30.02,99.66,0.007436,0.094833,6,0.648657,292
stage0_speech_lsf_vctk_masculine_v7,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,VCTK Corpus 0.92,female,masculine,0.142990,0.500,0.150,0.300,0.0085,0.019670,0.018227,53.67,66.35,33.73,100.00,0.007151,0.119055,10,0.663501,500
stage0_speech_lsf_vctk_masculine_v7,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,VCTK Corpus 0.92,female,masculine,0.612401,0.500,0.150,0.300,0.0085,0.014656,0.013055,55.46,51.04,35.23,100.00,0.004744,0.104254,6,0.510370,256
stage0_speech_lsf_vctk_feminine_v7,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,VCTK Corpus 0.92,male,feminine,0.378698,0.500,0.150,0.300,0.0085,0.018391,0.017281,53.02,71.80,33.35,100.00,0.004923,0.108253,10,0.717971,517
stage0_speech_lsf_vctk_feminine_v7,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,VCTK Corpus 0.92,male,feminine,0.376693,0.500,0.150,0.300,0.0085,0.017215,0.014729,57.22,48.26,34.18,100.00,0.005083,0.098088,6,0.482560,754
