rule_id,record_id,group_value,source_gender,target_direction,review_status,effect_audible,strength_fit,original_to_target_emd,processed_to_target_emd,resonance_distribution_shift_score,core_resonance_coverage_score,over_localized_edit_penalty,context_consistency_score,frame_improvement_mean,target_prototype_weight_sum,target_prototype_f0_median_hz,core_support_width_bins,delta_mass_in_core_ratio,voiced_frame_count_used
stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,LibriTTS-R,female,masculine,reviewed,maybe,too_weak,0.040774,0.036097,55.74,49.51,23.97,60.40,-0.001910,0.063721,124.570719,7,0.495081,399
stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,libritts_r__1995__1995_1826_000022_000000__82d5a66723,LibriTTS-R,female,masculine,reviewed,maybe,too_weak,0.033922,0.030869,54.50,39.95,18.50,59.35,-0.000929,0.102937,124.570719,7,0.399546,556
stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,libritts_r__174__174_50561_000024_000000__d665dc2840,LibriTTS-R,male,feminine,reviewed,no,too_weak,0.045674,0.046700,48.88,35.01,16.46,59.04,-0.001295,0.062269,190.798790,8,0.350106,376
stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,LibriTTS-R,male,feminine,reviewed,no,,0.032772,0.034620,47.18,44.29,19.76,48.71,-0.002747,0.104389,190.798790,6,0.442934,271
stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,VCTK Corpus 0.92,female,masculine,reviewed,no,,0.019670,0.026174,33.47,78.28,43.42,54.26,-0.008600,0.142990,114.704716,10,0.782802,94
stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,VCTK Corpus 0.92,female,masculine,reviewed,no,too_weak,0.014656,0.017676,39.70,78.99,49.69,59.26,0.001506,0.612401,114.704716,6,0.789879,27
stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,VCTK Corpus 0.92,male,feminine,reviewed,no,,0.018391,0.033687,8.41,65.59,34.22,56.78,0.001265,0.378698,146.089676,10,0.655932,118
stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,VCTK Corpus 0.92,male,feminine,reviewed,no,,0.017215,0.024981,27.45,62.90,36.28,52.94,-0.000606,0.376693,146.089676,6,0.629020,238
