rule_id,utt_id,source_gender,target_direction,group_value,f0_condition,f0_median_hz,confidence,strength_label,alpha_default,alpha_max,action_family,rule_notes,summary_signature,input_audio,original_copy,processed_audio,original_mtime_ns,processed_mtime_ns,original_rms_dbfs,processed_rms_dbfs,delta_rms_dbfs,original_peak_dbfs,processed_peak_dbfs,delta_peak_dbfs,original_clipping_ratio,processed_clipping_ratio,delta_clipping_ratio,original_silence_ratio_40db,processed_silence_ratio_40db,delta_silence_ratio_40db,original_f0_voiced_ratio,processed_f0_voiced_ratio,delta_f0_voiced_ratio,original_f0_median_hz,processed_f0_median_hz,delta_f0_median_hz,delta_f0_median_pct,original_spectral_centroid_hz_mean,processed_spectral_centroid_hz_mean,delta_spectral_centroid_hz_mean,original_log_centroid_minus_log_f0,processed_log_centroid_minus_log_f0,delta_log_centroid_minus_log_f0,original_low_mid_0_1500_share_db,processed_low_mid_0_1500_share_db,delta_low_mid_0_1500_share_db,original_presence_1500_3000_share_db,processed_presence_1500_3000_share_db,delta_presence_1500_3000_share_db,original_brilliance_3000_8000_share_db,processed_brilliance_3000_8000_share_db,delta_brilliance_3000_8000_share_db,waveform_mean_abs_diff,waveform_max_abs_diff,stft_logmag_l1,auto_direction_score,auto_preservation_score,auto_effect_score,auto_quant_score,auto_direction_flag,auto_preservation_flag,auto_audibility_flag,auto_quant_grade,auto_quant_notes,review_status,direction_correct,effect_audible,artifact_issue,strength_fit,keep_recommendation,review_notes
stage0_speech_libritts_masculine_brightness_down_v1,1919_142785_000089_000003,female,masculine,LibriTTS-R,all,197.776687,diagnostic,diagnostic_high,0.750,1.000,brightness_down,Speech-first 可感知性探针：对 LibriTTS-R 女声做更明显的 low-mid / presence 下拉。,stage0_speech_libritts_masculine_brightness_down_v1|1919_142785_000089_000003|female|masculine|LibriTTS-R|all|197.776687|diagnostic|diagnostic_high|0.750|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1919\142785\1919_142785_000089_000003.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\original\libritts_r__female__masculine__1919_142785_000089_000003.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\processed\libritts_r__female__masculine__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1919\142785\1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\original\libritts_r__female__masculine__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\processed\libritts_r__female__masculine__1919_142785_000089_000003.wav,1774541284514008100,1774541284826186400,-15.753643,-16.684847,-0.931204,-0.915503,-1.922112,-1.006609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.858506,0.863275,0.004769,197.776687,198.535870,0.759183,0.384,1681.106148,1748.453914,67.347766,0.929420,0.944815,0.015395,-0.110258,-0.113854,-0.003596,-17.751608,-18.027178,-0.275570,-21.553909,-20.694881,0.859028,0.010703,0.114227,0.011895,0.11,97.46,28.33,36.37,fail,safe,weak,fail,wrong_direction;effect_subtle,reviewed,,no,,,,
stage0_speech_libritts_masculine_brightness_down_v1,1995_1826_000022_000000,female,masculine,LibriTTS-R,all,188.323017,diagnostic,diagnostic_high,0.750,1.000,brightness_down,Speech-first 可感知性探针：对 LibriTTS-R 女声做更明显的 low-mid / presence 下拉。,stage0_speech_libritts_masculine_brightness_down_v1|1995_1826_000022_000000|female|masculine|LibriTTS-R|all|188.323017|diagnostic|diagnostic_high|0.750|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1995\1826\1995_1826_000022_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\original\libritts_r__female__masculine__1995_1826_000022_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\processed\libritts_r__female__masculine__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1995\1826\1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\original\libritts_r__female__masculine__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\processed\libritts_r__female__masculine__1995_1826_000022_000000.wav,1774541284833694500,1774541284887902700,-14.996729,-15.937300,-0.940571,-0.915503,-1.875275,-0.959772,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.871645,0.848308,-0.023337,188.323017,187.767901,-0.555116,-0.295,1834.944651,1896.484064,61.539413,0.988720,1.004328,0.015608,-0.118128,-0.136050,-0.017923,-21.363153,-21.630097,-0.266944,-17.891850,-17.011658,0.880191,0.011590,0.114746,0.011015,0.54,97.33,28.25,36.50,fail,safe,weak,fail,wrong_direction;effect_subtle,reviewed,,no,,,,
stage0_speech_libritts_feminine_brightness_up_v1,174_50561_000024_000000,male,feminine,LibriTTS-R,all,127.906902,diagnostic,diagnostic_high,0.750,1.000,brightness_up,Speech-first 可感知性探针：对 LibriTTS-R 男声做更明显的 upper-mid / brilliance 提升。,stage0_speech_libritts_feminine_brightness_up_v1|174_50561_000024_000000|male|feminine|LibriTTS-R|all|127.906902|diagnostic|diagnostic_high|0.750|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\174\50561\174_50561_000024_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\original\libritts_r__male__feminine__174_50561_000024_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\processed\libritts_r__male__feminine__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\174\50561\174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\original\libritts_r__male__feminine__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\processed\libritts_r__male__feminine__174_50561_000024_000000.wav,1774541284893902600,1774541284939292000,-19.752349,-19.565073,0.187276,-0.915503,-0.175652,0.739851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.820513,0.827350,0.006837,127.906902,129.386223,1.479321,1.157,1794.238968,1859.600211,65.361243,1.146986,1.157532,0.010545,-0.239004,-0.344679,-0.105675,-14.587360,-13.141614,1.445746,-17.889491,-15.942853,1.946638,0.003061,0.108978,0.019825,48.45,100.00,51.90,64.78,borderline,safe,borderline,borderline,direction_weak,reviewed,,no,,,,
stage0_speech_libritts_feminine_brightness_up_v1,2086_149214_000006_000002,male,feminine,LibriTTS-R,all,121.500654,diagnostic,diagnostic_high,0.750,1.000,brightness_up,Speech-first 可感知性探针：对 LibriTTS-R 男声做更明显的 upper-mid / brilliance 提升。,stage0_speech_libritts_feminine_brightness_up_v1|2086_149214_000006_000002|male|feminine|LibriTTS-R|all|121.500654|diagnostic|diagnostic_high|0.750|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2086\149214\2086_149214_000006_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\original\libritts_r__male__feminine__2086_149214_000006_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\processed\libritts_r__male__feminine__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2086\149214\2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\original\libritts_r__male__feminine__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\processed\libritts_r__male__feminine__2086_149214_000006_000002.wav,1774541284943796700,1774541284983778400,-22.191387,-21.980450,0.210937,-0.915503,-0.175381,0.740122,0.000000,0.000000,0.000000,0.042553,0.042553,0.000000,0.695507,0.687188,-0.008319,121.500654,121.293347,-0.207307,-0.171,1886.762605,1961.928695,75.166090,1.191139,1.208846,0.017708,-0.295539,-0.438899,-0.143360,-13.095644,-11.570462,1.525182,-18.177167,-16.018203,2.158964,0.002117,0.127472,0.019059,60.99,100.00,62.16,72.98,borderline,safe,likely,borderline,,reviewed,,no,,,,
stage0_speech_vctk_masculine_brightness_down_v1,p231_011_mic1,female,masculine,VCTK Corpus 0.92,all,185.611475,diagnostic,diagnostic_medium_high,0.650,0.900,brightness_down,Speech-first 可感知性探针：VCTK 女性样本已偏亮，男性向降亮略收一档。,stage0_speech_vctk_masculine_brightness_down_v1|p231_011_mic1|female|masculine|VCTK Corpus 0.92|all|185.611475|diagnostic|diagnostic_medium_high|0.650|0.900|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p231\p231_011_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\original\vctk__female__masculine__p231_011_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\processed\vctk__female__masculine__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p231\p231_011_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\original\vctk__female__masculine__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\processed\vctk__female__masculine__p231_011_mic1.wav,1774541284997140600,1774541285072348200,-25.362970,-26.402254,-1.039284,-6.813270,-8.213795,-1.400525,0.000000,0.000000,0.000000,0.001721,0.001721,0.000000,0.659677,0.659677,0.000000,185.611475,185.757637,0.146162,0.079,3794.253946,3967.514832,173.260886,1.310522,1.329572,0.019050,-0.300403,-0.334120,-0.033717,-14.202592,-14.167658,0.034935,-16.488102,-15.585762,0.902341,0.003268,0.072632,0.004277,1.01,95.95,44.82,40.45,fail,safe,borderline,fail,wrong_direction,reviewed,,no,,,,
stage0_speech_vctk_masculine_brightness_down_v1,p230_107_mic1,female,masculine,VCTK Corpus 0.92,all,189.353497,diagnostic,diagnostic_medium_high,0.650,0.900,brightness_down,Speech-first 可感知性探针：VCTK 女性样本已偏亮，男性向降亮略收一档。,stage0_speech_vctk_masculine_brightness_down_v1|p230_107_mic1|female|masculine|VCTK Corpus 0.92|all|189.353497|diagnostic|diagnostic_medium_high|0.650|0.900|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\original\vctk__female__masculine__p230_107_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\processed\vctk__female__masculine__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\original\vctk__female__masculine__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\processed\vctk__female__masculine__p230_107_mic1.wav,1774541285079897700,1774541285130121200,-28.394677,-29.328925,-0.934248,-9.904260,-10.925342,-1.021082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.550000,0.560000,0.010000,189.353497,188.900421,-0.453076,-0.239,3782.671221,3982.822312,200.151091,1.300525,1.323958,0.023433,-0.174650,-0.189076,-0.014426,-16.561358,-16.636483,-0.075125,-18.839322,-18.067759,0.771563,0.002107,0.036133,0.003732,0.43,97.42,49.72,41.85,fail,safe,borderline,fail,wrong_direction,reviewed,,no,,,,
stage0_speech_vctk_feminine_brightness_up_v1,p241_005_mic1,male,feminine,VCTK Corpus 0.92,all,117.153849,diagnostic,diagnostic_medium_high,0.650,0.900,brightness_up,Speech-first 可感知性探针：VCTK 本身更亮，因此女性向增亮略收一档。,stage0_speech_vctk_feminine_brightness_up_v1|p241_005_mic1|male|feminine|VCTK Corpus 0.92|all|117.153849|diagnostic|diagnostic_medium_high|0.650|0.900|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p241\p241_005_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\original\vctk__male__feminine__p241_005_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\processed\vctk__male__feminine__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p241\p241_005_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\original\vctk__male__feminine__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\processed\vctk__male__feminine__p241_005_mic1.wav,1774541285142680500,1774541285222373600,-23.725211,-23.602330,0.122881,-8.196070,-8.118778,0.077292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.583601,0.583601,0.000000,117.153849,117.152949,-0.000900,-0.001,3713.909886,3684.630499,-29.279387,1.501075,1.497641,-0.003434,-0.183510,-0.260689,-0.077180,-17.504085,-16.237572,1.266514,-16.593781,-14.837955,1.755826,0.001428,0.035553,0.007308,30.00,100.00,38.20,53.05,fail,safe,borderline,fail,direction_weak,reviewed,,no,,,,
stage0_speech_vctk_feminine_brightness_up_v1,p226_011_mic1,male,feminine,VCTK Corpus 0.92,all,112.711009,diagnostic,diagnostic_medium_high,0.650,0.900,brightness_up,Speech-first 可感知性探针：VCTK 本身更亮，因此女性向增亮略收一档。,stage0_speech_vctk_feminine_brightness_up_v1|p226_011_mic1|male|feminine|VCTK Corpus 0.92|all|112.711009|diagnostic|diagnostic_medium_high|0.650|0.900|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_011_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\original\vctk__male__feminine__p226_011_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\processed\vctk__male__feminine__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_011_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\original\vctk__male__feminine__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\processed\vctk__male__feminine__p226_011_mic1.wav,1774541285235407200,1774541285359305200,-23.776042,-23.588458,0.187584,-4.496733,-3.498530,0.998203,0.000000,0.000000,0.000000,0.043814,0.043814,0.000000,0.582126,0.584541,0.002415,112.711009,112.405544,-0.305465,-0.271,3717.458364,3668.936971,-48.521393,1.518280,1.513753,-0.004527,-0.303287,-0.419687,-0.116400,-14.033370,-12.845005,1.188365,-15.858843,-14.172525,1.686318,0.001380,0.072571,0.006448,30.00,100.00,42.13,54.03,fail,safe,borderline,fail,direction_weak,reviewed,,no,,,,
