rule_id,utt_id,source_gender,target_direction,group_value,f0_condition,f0_median_hz,confidence,strength_label,alpha_default,alpha_max,action_family,rule_notes,summary_signature,input_audio,original_copy,processed_audio,original_mtime_ns,processed_mtime_ns,original_rms_dbfs,processed_rms_dbfs,delta_rms_dbfs,original_peak_dbfs,processed_peak_dbfs,delta_peak_dbfs,original_clipping_ratio,processed_clipping_ratio,delta_clipping_ratio,original_silence_ratio_40db,processed_silence_ratio_40db,delta_silence_ratio_40db,original_f0_voiced_ratio,processed_f0_voiced_ratio,delta_f0_voiced_ratio,original_f0_median_hz,processed_f0_median_hz,delta_f0_median_hz,delta_f0_median_pct,original_spectral_centroid_hz_mean,processed_spectral_centroid_hz_mean,delta_spectral_centroid_hz_mean,original_log_centroid_minus_log_f0,processed_log_centroid_minus_log_f0,delta_log_centroid_minus_log_f0,original_low_mid_0_1500_share_db,processed_low_mid_0_1500_share_db,delta_low_mid_0_1500_share_db,original_presence_1500_3000_share_db,processed_presence_1500_3000_share_db,delta_presence_1500_3000_share_db,original_brilliance_3000_8000_share_db,processed_brilliance_3000_8000_share_db,delta_brilliance_3000_8000_share_db,waveform_mean_abs_diff,waveform_max_abs_diff,stft_logmag_l1,auto_direction_score,auto_preservation_score,auto_effect_score,auto_quant_score,auto_direction_flag,auto_preservation_flag,auto_audibility_flag,auto_quant_grade,auto_quant_notes,review_status,direction_correct,effect_audible,artifact_issue,strength_fit,keep_recommendation,review_notes
stage0_speech_world_stft_delta_libritts_masculine_v3,1919_142785_000089_000003,female,masculine,LibriTTS-R,all,197.776687,diagnostic,diagnostic_world_stft_delta_v3_stress,1.000,1.000,brightness_down,v3 stress: masculine 侧采用更大的下移量与 gain，接受不再追求最干净，只要先把效果推到可明确判断。,stage0_speech_world_stft_delta_libritts_masculine_v3|1919_142785_000089_000003|female|masculine|LibriTTS-R|all|197.776687|diagnostic|diagnostic_world_stft_delta_v3_stress|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1919\142785\1919_142785_000089_000003.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\original\libritts_r__female__masculine__worldstft__1919_142785_000089_000003.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\processed\libritts_r__female__masculine__worldstft__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1919\142785\1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\original\libritts_r__female__masculine__worldstft__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\processed\libritts_r__female__masculine__worldstft__1919_142785_000089_000003.wav,1774543735232740800,1774543736445577400,-15.753643,-18.225344,-2.471701,-0.915503,-3.388985,-2.473482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.858506,0.841017,-0.017489,197.776687,197.859330,0.082643,0.042,1681.106148,1794.156874,113.050726,0.929420,0.957504,0.028084,-0.110258,-0.111511,-0.001253,-17.751608,-18.616581,-0.864973,-21.553909,-19.861593,1.692316,0.032643,0.281708,0.036867,0.04,80.00,50.22,36.57,fail,safe,borderline,fail,wrong_direction;rms_drift_gt_1p5db,reviewed,yes,yes,,too_weak,,
stage0_speech_world_stft_delta_libritts_masculine_v3,1995_1826_000022_000000,female,masculine,LibriTTS-R,all,188.323017,diagnostic,diagnostic_world_stft_delta_v3_stress,1.000,1.000,brightness_down,v3 stress: masculine 侧采用更大的下移量与 gain，接受不再追求最干净，只要先把效果推到可明确判断。,stage0_speech_world_stft_delta_libritts_masculine_v3|1995_1826_000022_000000|female|masculine|LibriTTS-R|all|188.323017|diagnostic|diagnostic_world_stft_delta_v3_stress|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1995\1826\1995_1826_000022_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\original\libritts_r__female__masculine__worldstft__1995_1826_000022_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\processed\libritts_r__female__masculine__worldstft__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1995\1826\1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\original\libritts_r__female__masculine__worldstft__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\processed\libritts_r__female__masculine__worldstft__1995_1826_000022_000000.wav,1774543736449300700,1774543737830005600,-14.996729,-17.491054,-2.494325,-0.915503,-1.482010,-0.566507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.871645,0.858810,-0.012835,188.323017,186.718065,-1.604952,-0.852,1834.944651,1905.880183,70.935532,0.988720,1.008909,0.020190,-0.118128,-0.153095,-0.034967,-21.363153,-22.392535,-1.029381,-17.891850,-15.908317,1.983532,0.035938,0.379059,0.037889,1.05,80.00,35.74,33.41,fail,safe,borderline,fail,wrong_direction;rms_drift_gt_1p5db,reviewed,yes,maybe,,too_weak,,
stage0_speech_world_stft_delta_libritts_feminine_v3,174_50561_000024_000000,male,feminine,LibriTTS-R,all,127.906902,diagnostic,diagnostic_world_stft_delta_v3_stress,1.000,1.000,brightness_up,v3 stress: 放弃 v2 过强平滑带来的保守性，改成更大的 warp 与 gain，目标是先把差异推到稳定可辨。,stage0_speech_world_stft_delta_libritts_feminine_v3|174_50561_000024_000000|male|feminine|LibriTTS-R|all|127.906902|diagnostic|diagnostic_world_stft_delta_v3_stress|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\174\50561\174_50561_000024_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\original\libritts_r__male__feminine__worldstft__174_50561_000024_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\processed\libritts_r__male__feminine__worldstft__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\174\50561\174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\original\libritts_r__male__feminine__worldstft__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\processed\libritts_r__male__feminine__worldstft__174_50561_000024_000000.wav,1774543737832465700,1774543738708281800,-19.752349,-19.252438,0.499911,-0.915503,-0.367917,0.547586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.820513,0.842735,0.022222,127.906902,128.213177,0.306275,0.239,1794.238968,1751.847821,-42.391147,1.146986,1.135564,-0.011423,-0.239004,-0.268367,-0.029363,-14.587360,-13.808390,0.778970,-17.889491,-18.388267,-0.498776,0.022496,0.370758,0.043098,0.00,100.00,34.89,38.72,fail,safe,borderline,fail,wrong_direction,reviewed,yes,yes,,too_weak,,
stage0_speech_world_stft_delta_libritts_feminine_v3,2086_149214_000006_000002,male,feminine,LibriTTS-R,all,121.500654,diagnostic,diagnostic_world_stft_delta_v3_stress,1.000,1.000,brightness_up,v3 stress: 放弃 v2 过强平滑带来的保守性，改成更大的 warp 与 gain，目标是先把差异推到稳定可辨。,stage0_speech_world_stft_delta_libritts_feminine_v3|2086_149214_000006_000002|male|feminine|LibriTTS-R|all|121.500654|diagnostic|diagnostic_world_stft_delta_v3_stress|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2086\149214\2086_149214_000006_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\original\libritts_r__male__feminine__worldstft__2086_149214_000006_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\processed\libritts_r__male__feminine__worldstft__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2086\149214\2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\original\libritts_r__male__feminine__worldstft__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\processed\libritts_r__male__feminine__worldstft__2086_149214_000006_000002.wav,1774543738711070000,1774543739606442600,-22.191387,-21.425738,0.765649,-0.915503,-0.175381,0.740122,0.000000,0.000000,0.000000,0.042553,0.042553,0.000000,0.695507,0.683860,-0.011647,121.500654,121.520853,0.020199,0.017,1886.762605,1803.181843,-83.580762,1.191139,1.171389,-0.019750,-0.295539,-0.229086,0.066453,-13.095644,-14.365232,-1.269589,-18.177167,-18.694315,-0.517148,0.013848,0.327454,0.036321,0.00,99.78,51.35,42.77,fail,safe,borderline,fail,wrong_direction,reviewed,yes,yes,,too_weak,,
stage0_speech_world_stft_delta_vctk_masculine_v3,p231_011_mic1,female,masculine,VCTK Corpus 0.92,all,185.611475,diagnostic,diagnostic_world_stft_delta_v3_stress,1.000,1.000,brightness_down,v3 stress: VCTK masculine 侧提高整体差分强度，并恢复到 v1 级平滑，优先验证 audibility 而非最终保守性。,stage0_speech_world_stft_delta_vctk_masculine_v3|p231_011_mic1|female|masculine|VCTK Corpus 0.92|all|185.611475|diagnostic|diagnostic_world_stft_delta_v3_stress|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p231\p231_011_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\original\vctk__female__masculine__worldstft__p231_011_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\processed\vctk__female__masculine__worldstft__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p231\p231_011_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\original\vctk__female__masculine__worldstft__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\processed\vctk__female__masculine__worldstft__p231_011_mic1.wav,1774543739612950600,1774543740646234500,-25.362970,-26.679916,-1.316946,-6.813270,-6.742700,0.070570,0.000000,0.000000,0.000000,0.001721,0.001721,0.000000,0.659677,0.664516,0.004839,185.611475,186.315658,0.704183,0.379,3794.253946,3882.976553,88.722607,1.310522,1.318915,0.008394,-0.300403,-0.272977,0.027426,-14.202592,-15.125457,-0.922865,-16.488102,-16.279368,0.208735,0.009886,0.200134,0.012473,0.00,92.06,23.14,33.41,fail,safe,weak,fail,wrong_direction;effect_subtle,reviewed,yes,yes,,too_weak,,
stage0_speech_world_stft_delta_vctk_masculine_v3,p230_107_mic1,female,masculine,VCTK Corpus 0.92,all,189.353497,diagnostic,diagnostic_world_stft_delta_v3_stress,1.000,1.000,brightness_down,v3 stress: VCTK masculine 侧提高整体差分强度，并恢复到 v1 级平滑，优先验证 audibility 而非最终保守性。,stage0_speech_world_stft_delta_vctk_masculine_v3|p230_107_mic1|female|masculine|VCTK Corpus 0.92|all|189.353497|diagnostic|diagnostic_world_stft_delta_v3_stress|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\original\vctk__female__masculine__worldstft__p230_107_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\processed\vctk__female__masculine__worldstft__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\original\vctk__female__masculine__worldstft__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\processed\vctk__female__masculine__worldstft__p230_107_mic1.wav,1774543740650747200,1774543741255878100,-28.394677,-29.861368,-1.466691,-9.904260,-11.612972,-1.708712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.550000,0.545000,-0.005000,189.353497,190.936902,1.583405,0.836,3782.671221,3876.922437,94.251216,1.300525,1.307597,0.007072,-0.174650,-0.181454,-0.006804,-16.561358,-17.020825,-0.459466,-18.839322,-18.008410,0.830912,0.004814,0.086487,0.007352,0.20,89.97,21.61,32.48,fail,safe,weak,fail,wrong_direction;effect_subtle,reviewed,,no,,,,
stage0_speech_world_stft_delta_vctk_feminine_v3,p241_005_mic1,male,feminine,VCTK Corpus 0.92,all,117.153849,diagnostic,diagnostic_world_stft_delta_v3_stress,1.000,1.000,brightness_up,v3 stress: VCTK feminine 侧同步放松时频平滑，并提高 blend，优先解决 barely 区分的问题。,stage0_speech_world_stft_delta_vctk_feminine_v3|p241_005_mic1|male|feminine|VCTK Corpus 0.92|all|117.153849|diagnostic|diagnostic_world_stft_delta_v3_stress|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p241\p241_005_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\original\vctk__male__feminine__worldstft__p241_005_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\processed\vctk__male__feminine__worldstft__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p241\p241_005_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\original\vctk__male__feminine__worldstft__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\processed\vctk__male__feminine__worldstft__p241_005_mic1.wav,1774543741263673900,1774543742285763000,-23.725211,-23.140243,0.584968,-8.196070,-7.812396,0.383674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.583601,0.591640,0.008039,117.153849,118.110084,0.956235,0.816,3713.909886,3643.532645,-70.377241,1.501075,1.489236,-0.011839,-0.183510,-0.120646,0.062864,-17.504085,-19.264202,-1.760117,-16.593781,-18.524564,-1.930783,0.010894,0.184113,0.014384,0.00,100.00,54.18,43.55,fail,safe,borderline,fail,wrong_direction,reviewed,,no,,,,
stage0_speech_world_stft_delta_vctk_feminine_v3,p226_011_mic1,male,feminine,VCTK Corpus 0.92,all,112.711009,diagnostic,diagnostic_world_stft_delta_v3_stress,1.000,1.000,brightness_up,v3 stress: VCTK feminine 侧同步放松时频平滑，并提高 blend，优先解决 barely 区分的问题。,stage0_speech_world_stft_delta_vctk_feminine_v3|p226_011_mic1|male|feminine|VCTK Corpus 0.92|all|112.711009|diagnostic|diagnostic_world_stft_delta_v3_stress|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_011_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\original\vctk__male__feminine__worldstft__p226_011_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\processed\vctk__male__feminine__worldstft__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_011_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\original\vctk__male__feminine__worldstft__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_world_stft_delta_listening_pack\v3\processed\vctk__male__feminine__worldstft__p226_011_mic1.wav,1774543742292275300,1774543743928391200,-23.776042,-22.532710,1.243332,-4.496733,-3.726739,0.769994,0.000000,0.000000,0.000000,0.043814,0.047680,0.003866,0.582126,0.583333,0.001207,112.711009,112.829938,0.118929,0.106,3717.458364,3636.339496,-81.118868,1.518280,1.508240,-0.010040,-0.303287,-0.229929,0.073358,-14.033370,-15.192655,-1.159284,-15.858843,-17.033660,-1.174817,0.011690,0.291962,0.013020,0.00,93.09,53.37,41.27,fail,safe,borderline,fail,wrong_direction,reviewed,,maybe,,,,
