rule_id,utt_id,source_gender,target_direction,group_value,f0_condition,f0_median_hz,confidence,strength_label,alpha_default,alpha_max,action_family,rule_notes,summary_signature,input_audio,original_copy,processed_audio,original_mtime_ns,processed_mtime_ns,original_rms_dbfs,processed_rms_dbfs,delta_rms_dbfs,original_peak_dbfs,processed_peak_dbfs,delta_peak_dbfs,original_clipping_ratio,processed_clipping_ratio,delta_clipping_ratio,original_silence_ratio_40db,processed_silence_ratio_40db,delta_silence_ratio_40db,original_f0_voiced_ratio,processed_f0_voiced_ratio,delta_f0_voiced_ratio,original_f0_median_hz,processed_f0_median_hz,delta_f0_median_hz,delta_f0_median_pct,original_spectral_centroid_hz_mean,processed_spectral_centroid_hz_mean,delta_spectral_centroid_hz_mean,original_log_centroid_minus_log_f0,processed_log_centroid_minus_log_f0,delta_log_centroid_minus_log_f0,original_low_mid_0_1500_share_db,processed_low_mid_0_1500_share_db,delta_low_mid_0_1500_share_db,original_presence_1500_3000_share_db,processed_presence_1500_3000_share_db,delta_presence_1500_3000_share_db,original_brilliance_3000_8000_share_db,processed_brilliance_3000_8000_share_db,delta_brilliance_3000_8000_share_db,waveform_mean_abs_diff,waveform_max_abs_diff,stft_logmag_l1,auto_direction_score,auto_preservation_score,auto_effect_score,auto_quant_score,auto_direction_flag,auto_preservation_flag,auto_audibility_flag,auto_quant_grade,auto_quant_notes,review_status,direction_correct,effect_audible,artifact_issue,strength_fit,keep_recommendation,review_notes
stage0_speech_conditional_transport_libritts_masculine_v2,1919_142785_000089_000003,female,masculine,LibriTTS-R,all,197.776687,diagnostic,diagnostic_conditional_transport_v2,1.000,1.000,brightness_down,Conditional envelope transport masculine v2：重点验证 source-anchor 减法后，masculine 侧是否终于能跨过不可辨阈值。,stage0_speech_conditional_transport_libritts_masculine_v2|1919_142785_000089_000003|female|masculine|LibriTTS-R|all|197.776687|diagnostic|diagnostic_conditional_transport_v2|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1919\142785\1919_142785_000089_000003.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\original\libritts_r__female__masculine__cet__1919_142785_000089_000003.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\processed\libritts_r__female__masculine__cet__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1919\142785\1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\original\libritts_r__female__masculine__cet__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\processed\libritts_r__female__masculine__cet__1919_142785_000089_000003.wav,1774625105026698100,1774625105831117400,-15.753643,-15.838491,-0.084848,-0.915503,-0.175381,0.740122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.858506,0.860095,0.001589,197.776687,197.108377,-0.668310,-0.338,1681.106148,1658.323897,-22.782251,0.929420,0.924964,-0.004456,-0.110258,-0.095172,0.015086,-17.751608,-18.415473,-0.663865,-21.553909,-22.104632,-0.550722,0.008738,0.148651,0.012152,7.80,100.00,9.06,35.77,fail,safe,weak,fail,direction_weak;effect_subtle,reviewed,,no,,,,
stage0_speech_conditional_transport_libritts_masculine_v2,1995_1826_000022_000000,female,masculine,LibriTTS-R,all,188.323017,diagnostic,diagnostic_conditional_transport_v2,1.000,1.000,brightness_down,Conditional envelope transport masculine v2：重点验证 source-anchor 减法后，masculine 侧是否终于能跨过不可辨阈值。,stage0_speech_conditional_transport_libritts_masculine_v2|1995_1826_000022_000000|female|masculine|LibriTTS-R|all|188.323017|diagnostic|diagnostic_conditional_transport_v2|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1995\1826\1995_1826_000022_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\original\libritts_r__female__masculine__cet__1995_1826_000022_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\processed\libritts_r__female__masculine__cet__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1995\1826\1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\original\libritts_r__female__masculine__cet__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\processed\libritts_r__female__masculine__cet__1995_1826_000022_000000.wav,1774625105834682900,1774625107283304400,-14.996729,-14.996727,0.000002,-0.915503,-1.041592,-0.126089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.871645,0.872812,0.001167,188.323017,188.286411,-0.036606,-0.019,1834.944651,1821.654660,-13.289991,0.988720,0.985647,-0.003072,-0.118128,-0.111948,0.006180,-21.363153,-21.618371,-0.255217,-17.891850,-18.042856,-0.151006,0.008476,0.112427,0.009490,5.38,100.00,5.80,33.87,fail,safe,weak,fail,direction_weak;effect_subtle,reviewed,,no,,,,
stage0_speech_conditional_transport_libritts_feminine_v2,174_50561_000024_000000,male,feminine,LibriTTS-R,all,127.906902,diagnostic,diagnostic_conditional_transport_v2,1.000,1.000,brightness_up,Conditional envelope transport feminine v2：由 source-anchor 到 target-anchor 的局部对比 delta，显式加强内容对齐后的性别方向位移。,stage0_speech_conditional_transport_libritts_feminine_v2|174_50561_000024_000000|male|feminine|LibriTTS-R|all|127.906902|diagnostic|diagnostic_conditional_transport_v2|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\174\50561\174_50561_000024_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\original\libritts_r__male__feminine__cet__174_50561_000024_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\processed\libritts_r__male__feminine__cet__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\174\50561\174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\original\libritts_r__male__feminine__cet__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\processed\libritts_r__male__feminine__cet__174_50561_000024_000000.wav,1774625107288653200,1774625108854065600,-19.752349,-19.752347,0.000002,-0.915503,-0.985887,-0.070384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.820513,0.823932,0.003419,127.906902,129.395547,1.488645,1.164,1794.238968,1799.863444,5.624476,1.146986,1.143320,-0.003666,-0.239004,-0.237766,0.001238,-14.587360,-14.677266,-0.089906,-17.889491,-17.786327,0.103164,0.003952,0.082336,0.008156,3.09,100.00,8.43,33.50,fail,safe,weak,fail,direction_weak;effect_subtle,reviewed,,no,,,,
stage0_speech_conditional_transport_libritts_feminine_v2,2086_149214_000006_000002,male,feminine,LibriTTS-R,all,121.500654,diagnostic,diagnostic_conditional_transport_v2,1.000,1.000,brightness_up,Conditional envelope transport feminine v2：由 source-anchor 到 target-anchor 的局部对比 delta，显式加强内容对齐后的性别方向位移。,stage0_speech_conditional_transport_libritts_feminine_v2|2086_149214_000006_000002|male|feminine|LibriTTS-R|all|121.500654|diagnostic|diagnostic_conditional_transport_v2|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2086\149214\2086_149214_000006_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\original\libritts_r__male__feminine__cet__2086_149214_000006_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\processed\libritts_r__male__feminine__cet__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2086\149214\2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\original\libritts_r__male__feminine__cet__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\processed\libritts_r__male__feminine__cet__2086_149214_000006_000002.wav,1774625108859212300,1774625110293190400,-22.191387,-22.191387,0.000000,-0.915503,-0.967497,-0.051994,0.000000,0.000000,0.000000,0.042553,0.042553,0.000000,0.695507,0.687188,-0.008319,121.500654,121.452465,-0.048189,-0.040,1886.762605,1897.566028,10.803423,1.191139,1.193791,0.002652,-0.295539,-0.290076,0.005463,-13.095644,-13.180207,-0.084563,-18.177167,-18.266127,-0.088960,0.002055,0.107544,0.006105,4.64,100.00,7.42,33.94,fail,safe,weak,fail,direction_weak;effect_subtle,reviewed,,no,,,,
stage0_speech_conditional_transport_vctk_masculine_v2,p231_011_mic1,female,masculine,VCTK Corpus 0.92,all,185.611475,diagnostic,diagnostic_conditional_transport_v2,1.000,1.000,brightness_down,Conditional envelope transport masculine v2：VCTK masculine 继续相对保守，但不再做 v1 的 target-pull 弱搬运。,stage0_speech_conditional_transport_vctk_masculine_v2|p231_011_mic1|female|masculine|VCTK Corpus 0.92|all|185.611475|diagnostic|diagnostic_conditional_transport_v2|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p231\p231_011_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\original\vctk__female__masculine__cet__p231_011_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\processed\vctk__female__masculine__cet__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p231\p231_011_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\original\vctk__female__masculine__cet__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\processed\vctk__female__masculine__cet__p231_011_mic1.wav,1774625110302055000,1774625111888769800,-25.362970,-25.362966,0.000004,-6.813270,-7.080441,-0.267171,0.000000,0.000000,0.000000,0.001721,0.001721,0.000000,0.659677,0.666129,0.006452,185.611475,185.769682,0.158207,0.085,3794.253946,3767.438321,-26.815625,1.310522,1.307071,-0.003450,-0.300403,-0.285239,0.015164,-14.202592,-14.534934,-0.332341,-16.488102,-16.480348,0.007754,0.001754,0.029510,0.003667,6.04,100.00,8.34,34.80,fail,safe,weak,fail,direction_weak;effect_subtle,reviewed,,no,,,,
stage0_speech_conditional_transport_vctk_masculine_v2,p230_107_mic1,female,masculine,VCTK Corpus 0.92,all,189.353497,diagnostic,diagnostic_conditional_transport_v2,1.000,1.000,brightness_down,Conditional envelope transport masculine v2：VCTK masculine 继续相对保守，但不再做 v1 的 target-pull 弱搬运。,stage0_speech_conditional_transport_vctk_masculine_v2|p230_107_mic1|female|masculine|VCTK Corpus 0.92|all|189.353497|diagnostic|diagnostic_conditional_transport_v2|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\original\vctk__female__masculine__cet__p230_107_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\processed\vctk__female__masculine__cet__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\original\vctk__female__masculine__cet__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\processed\vctk__female__masculine__cet__p230_107_mic1.wav,1774625111895770300,1774625112924078600,-28.394677,-28.394678,-0.000001,-9.904260,-9.731883,0.172377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.550000,0.552500,0.002500,189.353497,189.578250,0.224753,0.119,3782.671221,3767.534825,-15.136396,1.300525,1.298269,-0.002256,-0.174650,-0.166545,0.008105,-16.561358,-16.848225,-0.286867,-18.839322,-18.811273,0.028048,0.001144,0.019745,0.003088,3.95,100.00,5.08,33.05,fail,safe,weak,fail,direction_weak;effect_subtle,reviewed,,no,,,,
stage0_speech_conditional_transport_vctk_feminine_v2,p241_005_mic1,male,feminine,VCTK Corpus 0.92,all,117.153849,diagnostic,diagnostic_conditional_transport_v2,1.000,1.000,brightness_up,Conditional envelope transport feminine v2：VCTK 侧同步换成 contrastive delta，但保留一点平滑，避免直接跳到伪影。,stage0_speech_conditional_transport_vctk_feminine_v2|p241_005_mic1|male|feminine|VCTK Corpus 0.92|all|117.153849|diagnostic|diagnostic_conditional_transport_v2|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p241\p241_005_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\original\vctk__male__feminine__cet__p241_005_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\processed\vctk__male__feminine__cet__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p241\p241_005_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\original\vctk__male__feminine__cet__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\processed\vctk__male__feminine__cet__p241_005_mic1.wav,1774625112936766900,1774625114676588800,-23.725211,-23.725215,-0.000004,-8.196070,-7.750066,0.446004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.583601,0.590032,0.006431,117.153849,117.388274,0.234425,0.200,3713.909886,3746.870116,32.960230,1.501075,1.504044,0.002969,-0.183510,-0.203711,-0.020201,-17.504085,-17.140313,0.363773,-16.593781,-16.084691,0.509090,0.001990,0.047546,0.004618,20.47,100.00,23.38,45.06,fail,safe,weak,fail,direction_weak;effect_subtle,reviewed,,no,,,,
stage0_speech_conditional_transport_vctk_feminine_v2,p226_011_mic1,male,feminine,VCTK Corpus 0.92,all,112.711009,diagnostic,diagnostic_conditional_transport_v2,1.000,1.000,brightness_up,Conditional envelope transport feminine v2：VCTK 侧同步换成 contrastive delta，但保留一点平滑，避免直接跳到伪影。,stage0_speech_conditional_transport_vctk_feminine_v2|p226_011_mic1|male|feminine|VCTK Corpus 0.92|all|112.711009|diagnostic|diagnostic_conditional_transport_v2|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_011_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\original\vctk__male__feminine__cet__p226_011_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\processed\vctk__male__feminine__cet__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_011_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\original\vctk__male__feminine__cet__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_conditional_envelope_transport_listening_pack\v2\processed\vctk__male__feminine__cet__p226_011_mic1.wav,1774625114689878100,1774625116464591700,-23.776042,-23.776044,-0.000002,-4.496733,-3.537080,0.959653,0.000000,0.000000,0.000000,0.043814,0.045103,0.001289,0.582126,0.595411,0.013285,112.711009,113.026991,0.315982,0.280,3717.458364,3755.377906,37.919542,1.518280,1.521471,0.003192,-0.303287,-0.323803,-0.020516,-14.033370,-13.596806,0.436565,-15.858843,-15.843024,0.015820,0.002707,0.079651,0.004064,6.06,100.00,9.52,35.11,fail,safe,weak,fail,direction_weak;effect_subtle,reviewed,,no,,,,
