rule_id,record_id,utt_id,backend,synthesis_status,error_message,target_npz,source_probe_wav,target_probe_wav,duration_delta_ms,loudness_drift_db,clipping_ratio,f0_source_median_hz,f0_probe_median_hz,f0_drift_cents,source_target_emd,carrier_target_emd,carrier_target_shift_score,target_log_mel_mae,source_probe_self_emd
stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,1919_142785_000089_000003,rvc_f0_posterior_bridge_v1,ok,,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\libritts_r__female__masculine__1919_142785_000089_000003.npz,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_rvc_bridge\source_probe_wav\libritts_r__1919__1919_142785_000089_000003__11e66c65d9__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_rvc_bridge\target_probe_wav\libritts_r__1919__1919_142785_000089_000003__11e66c65d9__1919_142785_000089_000003.wav,0.000,4.561,0.000000,195.998,187.147,80.00,0.040774,0.050325,38.29,2.104693,0.019708
stage0_speech_lsf_libritts_masculine_v8__mid_f0_split_core_focus_v9a,libritts_r__1995__1995_1826_000022_000000__82d5a66723,1995_1826_000022_000000,rvc_f0_posterior_bridge_v1,ok,,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\libritts_r__female__masculine__1995_1826_000022_000000.npz,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_rvc_bridge\source_probe_wav\libritts_r__1995__1995_1826_000022_000000__82d5a66723__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_rvc_bridge\target_probe_wav\libritts_r__1995__1995_1826_000022_000000__82d5a66723__1995_1826_000022_000000.wav,0.000,3.428,0.000000,183.932,164.814,190.00,0.033922,0.053083,21.76,1.974529,0.018073
stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,libritts_r__174__174_50561_000024_000000__d665dc2840,174_50561_000024_000000,rvc_f0_posterior_bridge_v1,ok,,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\libritts_r__male__feminine__174_50561_000024_000000.npz,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_rvc_bridge\source_probe_wav\libritts_r__174__174_50561_000024_000000__d665dc2840__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_rvc_bridge\target_probe_wav\libritts_r__174__174_50561_000024_000000__d665dc2840__174_50561_000024_000000.wav,0.000,6.309,0.000000,126.357,139.394,170.00,0.045674,0.052402,42.64,2.189526,0.020016
stage0_speech_lsf_libritts_feminine_v8__high_f0_split_core_focus_v9a,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,2086_149214_000006_000002,rvc_f0_posterior_bridge_v1,ok,,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\libritts_r__male__feminine__2086_149214_000006_000002.npz,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_rvc_bridge\source_probe_wav\libritts_r__2086__2086_149214_000006_000002__23f1c25eb7__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_rvc_bridge\target_probe_wav\libritts_r__2086__2086_149214_000006_000002__23f1c25eb7__2086_149214_000006_000002.wav,0.000,7.225,0.000000,117.895,128.565,150.00,0.032772,0.049530,24.43,2.325148,0.027622
stage0_speech_lsf_vctk_masculine_v8__mid_f0_split_core_focus_v9a,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,p230_107_mic1,rvc_f0_posterior_bridge_v1,ok,,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\vctk__female__masculine__p230_107_mic1.npz,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_rvc_bridge\source_probe_wav\vctk_corpus_0_92__p230__p230_107_mic1__8330d16640__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_rvc_bridge\target_probe_wav\vctk_corpus_0_92__p230__p230_107_mic1__8330d16640__p230_107_mic1.wav,1.708,12.407,0.000000,105.033,183.932,970.00,0.014656,0.040681,0.00,2.549733,0.057551
stage0_speech_lsf_vctk_masculine_v8__low_f0_split_core_focus_v9a,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,p231_011_mic1,rvc_f0_posterior_bridge_v1,ok,,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\vctk__female__masculine__p231_011_mic1.npz,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_rvc_bridge\source_probe_wav\vctk_corpus_0_92__p231__p231_011_mic1__986481509c__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_rvc_bridge\target_probe_wav\vctk_corpus_0_92__p231__p231_011_mic1__986481509c__p231_011_mic1.wav,-1.083,10.483,0.000000,186.608,184.997,15.01,0.019670,0.051678,0.00,2.537404,0.034568
stage0_speech_lsf_vctk_feminine_v8__mid_f0_split_core_focus_v9a,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,p226_011_mic1,rvc_f0_posterior_bridge_v1,ok,,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\vctk__male__feminine__p226_011_mic1.npz,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_rvc_bridge\source_probe_wav\vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_rvc_bridge\target_probe_wav\vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f__p226_011_mic1.wav,2.792,9.649,0.000000,114.209,117.895,54.99,0.017215,0.042814,0.00,2.436718,0.028654
stage0_speech_lsf_vctk_feminine_v8__high_f0_split_core_focus_v9a,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,p241_005_mic1,rvc_f0_posterior_bridge_v1,ok,,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_bridge_target_export\v1_fixed8_v9a\targets\vctk__male__feminine__p241_005_mic1.npz,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_rvc_bridge\source_probe_wav\vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_vocoder_carrier_adapter\v1_fixed8_v9a_rvc_bridge\target_probe_wav\vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2__p241_005_mic1.wav,-1.771,9.344,0.000000,114.539,117.216,40.00,0.018391,0.056259,0.00,2.454879,0.027491
