rule_id,record_id,group_value,source_gender,target_direction,prototype_weight_sum,core_step_size,off_core_step_size,frame_smoothness_weight,max_bin_step,sim_original_to_target_emd,sim_edited_to_target_emd,sim_resonance_distribution_shift_score,sim_core_resonance_coverage_score,sim_over_localized_edit_penalty,sim_context_consistency_score,sim_frame_improvement_mean,sim_mean_frame_residual_l1,sim_core_support_width_bins,sim_delta_mass_in_core_ratio,sim_voiced_frame_count_used
stage0_speech_lsf_libritts_masculine_v7,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,LibriTTS-R,female,masculine,0.063721,0.700,0.200,0.300,0.0200,0.040774,0.034603,57.57,79.85,39.34,100.00,0.014330,0.202847,7,0.798544,402
stage0_speech_lsf_libritts_masculine_v7,libritts_r__1995__1995_1826_000022_000000__82d5a66723,LibriTTS-R,female,masculine,0.102937,0.700,0.200,0.300,0.0200,0.033922,0.028850,57.48,67.94,32.52,100.00,0.014178,0.208596,7,0.679393,572
stage0_speech_lsf_libritts_feminine_v7,libritts_r__174__174_50561_000024_000000__d665dc2840,LibriTTS-R,male,feminine,0.062269,0.700,0.200,0.300,0.0200,0.045674,0.038195,58.19,60.59,26.12,100.00,0.013674,0.200932,8,0.605920,385
stage0_speech_lsf_libritts_feminine_v7,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,LibriTTS-R,male,feminine,0.104389,0.700,0.200,0.300,0.0200,0.032772,0.027559,57.95,73.97,34.70,99.66,0.011733,0.177684,6,0.739729,292
stage0_speech_lsf_vctk_masculine_v7,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,VCTK Corpus 0.92,female,masculine,0.142990,0.700,0.200,0.300,0.0200,0.019670,0.015867,59.67,73.17,34.48,100.00,0.012319,0.236394,10,0.731683,500
stage0_speech_lsf_vctk_masculine_v7,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,VCTK Corpus 0.92,female,masculine,0.612401,0.700,0.200,0.300,0.0200,0.014656,0.011869,59.51,59.95,39.47,100.00,0.007488,0.191379,6,0.599534,256
stage0_speech_lsf_vctk_feminine_v7,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,VCTK Corpus 0.92,male,feminine,0.378698,0.700,0.200,0.300,0.0200,0.018391,0.016242,55.84,80.72,38.05,100.00,0.008487,0.213789,10,0.807230,517
stage0_speech_lsf_vctk_feminine_v7,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,VCTK Corpus 0.92,male,feminine,0.376693,0.700,0.200,0.300,0.0200,0.017215,0.013370,61.17,59.13,39.87,100.00,0.008174,0.184976,6,0.591273,754
