rule_id,record_id,utt_id,source_gender,target_direction,group_value,f0_condition,f0_median_hz,confidence,strength_label,alpha_default,alpha_max,action_family,rule_notes,summary_signature,input_audio,original_copy,processed_audio,original_mtime_ns,processed_mtime_ns,original_rms_dbfs,processed_rms_dbfs,delta_rms_dbfs,original_peak_dbfs,processed_peak_dbfs,delta_peak_dbfs,original_clipping_ratio,processed_clipping_ratio,delta_clipping_ratio,original_silence_ratio_40db,processed_silence_ratio_40db,delta_silence_ratio_40db,original_f0_voiced_ratio,processed_f0_voiced_ratio,delta_f0_voiced_ratio,original_f0_median_hz,processed_f0_median_hz,delta_f0_median_hz,delta_f0_median_pct,original_spectral_centroid_hz_mean,processed_spectral_centroid_hz_mean,delta_spectral_centroid_hz_mean,original_log_centroid_minus_log_f0,processed_log_centroid_minus_log_f0,delta_log_centroid_minus_log_f0,original_low_mid_0_1500_share_db,processed_low_mid_0_1500_share_db,delta_low_mid_0_1500_share_db,original_presence_1500_3000_share_db,processed_presence_1500_3000_share_db,delta_presence_1500_3000_share_db,original_brilliance_3000_8000_share_db,processed_brilliance_3000_8000_share_db,delta_brilliance_3000_8000_share_db,waveform_mean_abs_diff,waveform_max_abs_diff,stft_logmag_l1,auto_direction_score,auto_preservation_score,auto_effect_score,auto_quant_score,auto_direction_flag,auto_preservation_flag,auto_audibility_flag,auto_quant_grade,auto_quant_notes,review_status,direction_correct,effect_audible,artifact_issue,strength_fit,keep_recommendation,review_notes
stage0_speech_lsf_libritts_masculine_masc_uniform_push_v2b,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,1919_142785_000089_000003,female,masculine,LibriTTS-R,all,197.776687,diagnostic,masc_uniform_push_v2b,1.000,1.000,brightness_down,LSF masculine v1：重点看是否比 LPC masculine 少瓶中感。 [machine_sweep=masc_uniform_push_v2b],stage0_speech_lsf_libritts_masculine_masc_uniform_push_v2b|libritts_r__1919__1919_142785_000089_000003__11e66c65d9|1919_142785_000089_000003|female|masculine|LibriTTS-R|all|197.776687|diagnostic|masc_uniform_push_v2b|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1919\142785\1919_142785_000089_000003.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\original\libritts_r__female__masculine__lsf__1919_142785_000089_000003.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\processed\libritts_r__female__masculine__lsf__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1919\142785\1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\original\libritts_r__female__masculine__lsf__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\processed\libritts_r__female__masculine__lsf__1919_142785_000089_000003.wav,1774672234074503200,1774672236110538800,-15.753643,-15.753639,0.000004,-0.915503,-0.991828,-0.076325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.858506,0.864865,0.006359,197.776687,195.445890,-2.330797,-1.178,1681.106148,1498.907360,-182.198788,0.929420,0.884748,-0.044672,-0.110258,-0.089306,0.020952,-17.751608,-18.737159,-0.985551,-21.553909,-22.387379,-0.833470,0.059347,0.649445,0.043203,70.00,100.00,70.63,79.16,pass,safe,likely,strong_pass,,pending,,,,,,
stage0_speech_lsf_libritts_masculine_masc_uniform_push_v2b,libritts_r__1995__1995_1826_000022_000000__82d5a66723,1995_1826_000022_000000,female,masculine,LibriTTS-R,all,188.323017,diagnostic,masc_uniform_push_v2b,1.000,1.000,brightness_down,LSF masculine v1：重点看是否比 LPC masculine 少瓶中感。 [machine_sweep=masc_uniform_push_v2b],stage0_speech_lsf_libritts_masculine_masc_uniform_push_v2b|libritts_r__1995__1995_1826_000022_000000__82d5a66723|1995_1826_000022_000000|female|masculine|LibriTTS-R|all|188.323017|diagnostic|masc_uniform_push_v2b|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1995\1826\1995_1826_000022_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\original\libritts_r__female__masculine__lsf__1995_1826_000022_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\processed\libritts_r__female__masculine__lsf__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1995\1826\1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\original\libritts_r__female__masculine__lsf__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\processed\libritts_r__female__masculine__lsf__1995_1826_000022_000000.wav,1774672236116091400,1774672238473992600,-14.996729,-14.996727,0.000002,-0.915503,-0.944711,-0.029208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.871645,0.863477,-0.008168,188.323017,185.429706,-2.893311,-1.536,1834.944651,1671.951683,-162.992968,0.988720,0.955044,-0.033675,-0.118128,-0.107955,0.010172,-21.363153,-23.566651,-2.203498,-17.891850,-17.830121,0.061729,0.051164,0.746307,0.039277,58.93,99.71,62.40,72.03,borderline,safe,likely,borderline,,pending,,,,,,
stage0_speech_lsf_libritts_feminine_masc_uniform_push_v2b,libritts_r__174__174_50561_000024_000000__d665dc2840,174_50561_000024_000000,male,feminine,LibriTTS-R,all,127.906902,diagnostic,masc_uniform_push_v2b,1.000,1.000,brightness_up,LSF feminine v1：先做成对 LSF 中心上移，验证是否比 LPC pole edit 更少高频假感。 [machine_sweep=masc_uniform_push_v2b],stage0_speech_lsf_libritts_feminine_masc_uniform_push_v2b|libritts_r__174__174_50561_000024_000000__d665dc2840|174_50561_000024_000000|male|feminine|LibriTTS-R|all|127.906902|diagnostic|masc_uniform_push_v2b|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\174\50561\174_50561_000024_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\original\libritts_r__male__feminine__lsf__174_50561_000024_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\processed\libritts_r__male__feminine__lsf__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\174\50561\174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\original\libritts_r__male__feminine__lsf__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\processed\libritts_r__male__feminine__lsf__174_50561_000024_000000.wav,1774672238478954600,1774672239922483200,-19.752349,-20.272098,-0.519749,-0.915503,-0.175652,0.739851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.820513,0.854701,0.034188,127.906902,128.763307,0.856405,0.670,1794.238968,2063.204246,268.965278,1.146986,1.204750,0.057764,-0.239004,-0.373949,-0.134945,-14.587360,-12.858316,1.729044,-17.889491,-15.526365,2.363126,0.029097,0.602905,0.044747,100.00,100.00,100.00,100.00,pass,safe,likely,strong_pass,,pending,,,,,,
stage0_speech_lsf_libritts_feminine_masc_uniform_push_v2b,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,2086_149214_000006_000002,male,feminine,LibriTTS-R,all,121.500654,diagnostic,masc_uniform_push_v2b,1.000,1.000,brightness_up,LSF feminine v1：先做成对 LSF 中心上移，验证是否比 LPC pole edit 更少高频假感。 [machine_sweep=masc_uniform_push_v2b],stage0_speech_lsf_libritts_feminine_masc_uniform_push_v2b|libritts_r__2086__2086_149214_000006_000002__23f1c25eb7|2086_149214_000006_000002|male|feminine|LibriTTS-R|all|121.500654|diagnostic|masc_uniform_push_v2b|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2086\149214\2086_149214_000006_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\original\libritts_r__male__feminine__lsf__2086_149214_000006_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\processed\libritts_r__male__feminine__lsf__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2086\149214\2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\original\libritts_r__male__feminine__lsf__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\processed\libritts_r__male__feminine__lsf__2086_149214_000006_000002.wav,1774672239929908700,1774672241339285000,-22.191387,-22.191385,0.000002,-0.915503,-1.473525,-0.558022,0.000000,0.000000,0.000000,0.042553,0.017730,-0.024823,0.695507,0.665557,-0.029950,121.500654,121.491853,-0.008801,-0.007,1886.762605,2139.610702,252.848097,1.191139,1.245788,0.054649,-0.295539,-0.560286,-0.264747,-13.095644,-10.558506,2.537137,-18.177167,-15.073910,3.103257,0.017232,0.785522,0.042584,100.00,100.00,100.00,100.00,pass,safe,likely,strong_pass,,pending,,,,,,
stage0_speech_lsf_vctk_masculine_masc_uniform_push_v2b,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,p231_011_mic1,female,masculine,VCTK Corpus 0.92,all,185.611475,diagnostic,masc_uniform_push_v2b,1.000,1.000,brightness_down,LSF masculine v1：VCTK 侧先保守起步，避免直接回到闷化。 [machine_sweep=masc_uniform_push_v2b],stage0_speech_lsf_vctk_masculine_masc_uniform_push_v2b|vctk_corpus_0_92__p231__p231_011_mic1__986481509c|p231_011_mic1|female|masculine|VCTK Corpus 0.92|all|185.611475|diagnostic|masc_uniform_push_v2b|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p231\p231_011_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\original\vctk__female__masculine__lsf__p231_011_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\processed\vctk__female__masculine__lsf__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p231\p231_011_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\original\vctk__female__masculine__lsf__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\processed\vctk__female__masculine__lsf__p231_011_mic1.wav,1774672241346315000,1774672243347734900,-25.362970,-25.362969,0.000001,-6.813270,-6.356221,0.457049,0.000000,0.000000,0.000000,0.001721,0.001721,0.000000,0.659677,0.672581,0.012904,185.611475,186.900486,1.289011,0.694,3794.253946,3630.091758,-164.162188,1.310522,1.288307,-0.022214,-0.300403,-0.257402,0.043001,-14.202592,-15.098438,-0.895845,-16.488102,-16.979915,-0.491813,0.012287,0.199005,0.011010,38.88,100.00,49.06,59.76,fail,safe,borderline,fail,,pending,,,,,,
stage0_speech_lsf_vctk_masculine_masc_uniform_push_v2b,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,p230_107_mic1,female,masculine,VCTK Corpus 0.92,all,189.353497,diagnostic,masc_uniform_push_v2b,1.000,1.000,brightness_down,LSF masculine v1：VCTK 侧先保守起步，避免直接回到闷化。 [machine_sweep=masc_uniform_push_v2b],stage0_speech_lsf_vctk_masculine_masc_uniform_push_v2b|vctk_corpus_0_92__p230__p230_107_mic1__8330d16640|p230_107_mic1|female|masculine|VCTK Corpus 0.92|all|189.353497|diagnostic|masc_uniform_push_v2b|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\original\vctk__female__masculine__lsf__p230_107_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\processed\vctk__female__masculine__lsf__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\original\vctk__female__masculine__lsf__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\processed\vctk__female__masculine__lsf__p230_107_mic1.wav,1774672243351881300,1774672244584953000,-28.394677,-28.394678,-0.000001,-9.904260,-10.270865,-0.366605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.550000,0.472500,-0.077500,189.353497,188.523685,-0.829812,-0.438,3782.671221,3642.386452,-140.284769,1.300525,1.286020,-0.014505,-0.174650,-0.128547,0.046103,-16.561358,-17.913388,-1.352030,-18.839322,-20.199839,-1.360517,0.005697,0.107452,0.009843,25.38,95.60,38.22,49.66,fail,safe,borderline,fail,direction_weak,pending,,,,,,
stage0_speech_lsf_vctk_feminine_masc_uniform_push_v2b,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,p241_005_mic1,male,feminine,VCTK Corpus 0.92,all,117.153849,diagnostic,masc_uniform_push_v2b,1.000,1.000,brightness_up,LSF feminine v1：VCTK 稍收一档，优先观察是否比 cepstral v1 更少出现假高频。 [machine_sweep=masc_uniform_push_v2b],stage0_speech_lsf_vctk_feminine_masc_uniform_push_v2b|vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2|p241_005_mic1|male|feminine|VCTK Corpus 0.92|all|117.153849|diagnostic|masc_uniform_push_v2b|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p241\p241_005_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\original\vctk__male__feminine__lsf__p241_005_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\processed\vctk__male__feminine__lsf__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p241\p241_005_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\original\vctk__male__feminine__lsf__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\processed\vctk__male__feminine__lsf__p241_005_mic1.wav,1774672244593066800,1774672246398920400,-23.725211,-23.725207,0.000004,-8.196070,-7.416892,0.779178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.583601,0.609325,0.025724,117.153849,116.748865,-0.404984,-0.346,3713.909886,3875.444454,161.534568,1.501075,1.521069,0.019994,-0.183510,-0.256290,-0.072780,-17.504085,-16.062415,1.441671,-16.593781,-15.134541,1.459239,0.012924,0.196808,0.013056,64.99,100.00,74.99,77.99,borderline,safe,likely,borderline,,pending,,,,,,
stage0_speech_lsf_vctk_feminine_masc_uniform_push_v2b,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,p226_011_mic1,male,feminine,VCTK Corpus 0.92,all,112.711009,diagnostic,masc_uniform_push_v2b,1.000,1.000,brightness_up,LSF feminine v1：VCTK 稍收一档，优先观察是否比 cepstral v1 更少出现假高频。 [machine_sweep=masc_uniform_push_v2b],stage0_speech_lsf_vctk_feminine_masc_uniform_push_v2b|vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f|p226_011_mic1|male|feminine|VCTK Corpus 0.92|all|112.711009|diagnostic|masc_uniform_push_v2b|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_011_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\original\vctk__male__feminine__lsf__p226_011_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\processed\vctk__male__feminine__lsf__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_011_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\original\vctk__male__feminine__lsf__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v2\masc_uniform_push_v2b\processed\vctk__male__feminine__lsf__p226_011_mic1.wav,1774672246406516500,1774672249481372100,-23.776042,-23.776041,0.000001,-4.496733,-3.661846,0.834887,0.000000,0.000000,0.000000,0.043814,0.043814,0.000000,0.582126,0.573671,-0.008455,112.711009,112.551211,-0.159798,-0.142,3717.458364,3862.521804,145.063440,1.518280,1.535521,0.017241,-0.303287,-0.400641,-0.097354,-14.033370,-13.140176,0.893195,-15.858843,-14.260889,1.597954,0.009170,0.209625,0.010698,60.17,100.00,70.89,74.80,borderline,safe,likely,borderline,,pending,,,,,,
