rule_id,record_id,group_value,source_gender,target_direction,original_copy,observed_processed_audio,reconstructed_audio,core_step_size,off_core_step_size,frame_smoothness_weight,max_bin_step,prototype_weight_sum,fit_voiced_frame_count,fit_success_rate,frame_passthrough_rate,mean_target_fit_l1,mean_core_fit_l1,mean_highband_preservation_error,mean_lsf_movement_hz,mean_pair1_center_ratio,mean_pair2_center_ratio,mean_pair3_center_ratio,mean_pair1_width_ratio,mean_pair2_width_ratio,mean_pair3_width_ratio,original_to_target_emd,reconstructed_to_target_emd,reconstructed_resonance_distribution_shift_score,reconstructed_core_resonance_coverage_score,reconstructed_over_localized_edit_penalty,reconstructed_context_consistency_score,reconstructed_frame_improvement_mean,observed_resonance_distribution_shift_score,observed_core_resonance_coverage_score,observed_over_localized_edit_penalty,observed_context_consistency_score,observed_frame_improvement_mean,delta_shift_vs_observed,delta_coverage_vs_observed,delta_penalty_vs_observed,delta_frame_improvement_vs_observed,original_rms_dbfs,reconstructed_rms_dbfs,delta_rms_dbfs,original_f0_voiced_ratio,reconstructed_f0_voiced_ratio,delta_f0_voiced_ratio,original_f0_median_hz,reconstructed_f0_median_hz,delta_f0_median_hz,delta_f0_median_pct,original_spectral_centroid_hz_mean,reconstructed_spectral_centroid_hz_mean,delta_spectral_centroid_hz_mean,original_presence_1500_3000_share_db,reconstructed_presence_1500_3000_share_db,delta_presence_1500_3000_share_db,original_brilliance_3000_8000_share_db,reconstructed_brilliance_3000_8000_share_db,delta_brilliance_3000_8000_share_db,waveform_mean_abs_diff,waveform_max_abs_diff,stft_logmag_l1
stage0_speech_lsf_libritts_masculine_v7,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,LibriTTS-R,female,masculine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\libritts_r__female__masculine__lsf__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\libritts_r__female__masculine__lsf__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v7\reconstructed\libritts_r__female__masculine__atrr_lsf__1919_142785_000089_000003.wav,0.500,0.150,0.300,0.0085,0.063721,505,1.0000,0.0000,0.011840,0.079032,0.073887,27.190956,0.9700,0.8500,1.0000,1.1000,1.2400,1.0000,0.040774,0.039923,51.04,42.67,25.83,50.00,-0.002937,51.04,42.67,25.83,50.00,-0.002936,0.00,-0.00,0.00,-0.000001,-15.753643,-15.753643,0.000000,0.858506,0.869634,0.011128,197.776687,197.610924,-0.165763,-0.084,1681.106148,1529.996061,-151.110087,-17.751355,-22.554907,-4.803552,-21.553867,-22.480715,-0.926848,0.025437,0.578277,0.047668
stage0_speech_lsf_libritts_masculine_v7,libritts_r__1995__1995_1826_000022_000000__82d5a66723,LibriTTS-R,female,masculine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\libritts_r__female__masculine__lsf__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\libritts_r__female__masculine__lsf__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v7\reconstructed\libritts_r__female__masculine__atrr_lsf__1995_1826_000022_000000.wav,0.500,0.150,0.300,0.0085,0.102937,701,0.9914,0.0086,0.012841,0.080228,0.081701,29.803252,0.9703,0.8513,1.0000,1.0991,1.2379,1.0000,0.033922,0.037105,45.31,30.57,21.79,45.99,-0.000466,45.31,30.56,21.78,45.81,-0.000464,-0.00,0.01,0.01,-0.000002,-14.996729,-15.023705,-0.026976,0.871645,0.850642,-0.021003,188.323017,188.190309,-0.132708,-0.070,1834.944651,1685.308835,-149.635816,-21.363218,-27.976965,-6.613747,-17.891840,-18.158469,-0.266628,0.025753,0.321481,0.042095
stage0_speech_lsf_libritts_feminine_v7,libritts_r__174__174_50561_000024_000000__d665dc2840,LibriTTS-R,male,feminine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\libritts_r__male__feminine__lsf__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\libritts_r__male__feminine__lsf__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v7\reconstructed\libritts_r__male__feminine__atrr_lsf__174_50561_000024_000000.wav,0.500,0.150,0.300,0.0085,0.062269,448,1.0000,0.0000,0.013919,0.079990,0.293484,50.341139,1.1500,1.1100,1.0700,1.0000,1.0000,1.0000,0.045674,0.058676,35.77,42.31,18.63,53.74,-0.007261,35.77,42.31,18.62,53.74,-0.007261,-0.00,-0.00,0.01,0.000000,-19.752349,-21.083986,-1.331637,0.820513,0.861538,0.041025,127.906902,129.652986,1.746084,1.365,1794.238968,2137.515787,343.276819,-14.586971,-11.694936,2.892035,-17.889405,-15.095246,2.794158,0.029646,0.549681,0.053902
stage0_speech_lsf_libritts_feminine_v7,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,LibriTTS-R,male,feminine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\libritts_r__male__feminine__lsf__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\libritts_r__male__feminine__lsf__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v7\reconstructed\libritts_r__male__feminine__atrr_lsf__2086_149214_000006_000002.wav,0.500,0.150,0.300,0.0085,0.104389,391,1.0000,0.0000,0.012974,0.098749,0.298799,50.970669,1.1500,1.1100,1.0700,1.0000,1.0000,1.0000,0.032772,0.047870,26.96,36.82,17.97,44.35,-0.009980,26.96,36.83,17.98,44.76,-0.009977,0.00,-0.01,-0.01,-0.000003,-22.191387,-22.191388,-0.000001,0.695507,0.683860,-0.011647,121.500654,121.231998,-0.268656,-0.221,1886.762605,2186.741595,299.978990,-13.095536,-10.577502,2.518034,-18.177207,-14.244507,3.932700,0.017996,0.769545,0.050571
stage0_speech_lsf_vctk_masculine_v7,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,VCTK Corpus 0.92,female,masculine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\vctk__female__masculine__lsf__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\vctk__female__masculine__lsf__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v7\reconstructed\vctk__female__masculine__atrr_lsf__p231_011_mic1.wav,0.500,0.150,0.300,0.0085,0.142990,767,0.9531,0.0469,0.011482,0.052928,0.037369,25.683236,0.9619,0.8570,1.0000,1.0762,1.2478,1.0000,0.019670,0.018126,53.93,61.91,28.47,63.24,0.002843,53.93,61.91,28.47,62.83,0.002843,-0.00,0.00,-0.00,0.000000,-25.362970,-25.362969,0.000001,0.659677,0.667742,0.008065,185.611475,185.792102,0.180627,0.097,3794.253946,3599.594681,-194.659265,-14.202583,-18.143228,-3.940645,-16.488064,-17.458433,-0.970369,0.010806,0.303520,0.015264
stage0_speech_lsf_vctk_masculine_v7,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,VCTK Corpus 0.92,female,masculine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\vctk__female__masculine__lsf__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\vctk__female__masculine__lsf__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v7\reconstructed\vctk__female__masculine__atrr_lsf__p230_107_mic1.wav,0.500,0.150,0.300,0.0085,0.612401,413,0.9274,0.0726,0.010159,0.061042,0.037190,25.548698,0.9629,0.8609,1.0000,1.0742,1.2411,1.0000,0.014656,0.018754,36.02,30.05,26.42,34.65,-0.003601,36.02,30.05,26.42,34.21,-0.003596,0.00,0.00,0.00,-0.000005,-28.394677,-28.394677,0.000000,0.550000,0.490000,-0.060000,189.353497,192.486140,3.132643,1.654,3782.671221,3610.476379,-172.194842,-16.561353,-20.884009,-4.322657,-18.839309,-20.585019,-1.745711,0.006774,0.133466,0.013627
stage0_speech_lsf_vctk_feminine_v7,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,VCTK Corpus 0.92,male,feminine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\vctk__male__feminine__lsf__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\vctk__male__feminine__lsf__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v7\reconstructed\vctk__male__feminine__atrr_lsf__p241_005_mic1.wav,0.500,0.150,0.300,0.0085,0.378698,681,1.0000,0.0000,0.012913,0.068539,0.163722,52.172666,1.1600,1.1200,1.0800,1.0000,1.0000,1.0000,0.018391,0.030747,16.41,74.76,35.29,23.16,-0.010689,16.41,74.76,35.29,22.75,-0.010689,-0.00,-0.00,0.00,0.000000,-23.725213,-23.725211,0.000002,0.583601,0.606109,0.022508,117.153849,117.380115,0.226266,0.193,3713.909886,4028.638433,314.728547,-17.504322,-16.084711,1.419611,-16.593773,-13.739119,2.854654,0.023437,0.328834,0.023250
stage0_speech_lsf_vctk_feminine_v7,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,VCTK Corpus 0.92,male,feminine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\vctk__male__feminine__lsf__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\vctk__male__feminine__lsf__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v7\reconstructed\vctk__male__feminine__atrr_lsf__p226_011_mic1.wav,0.500,0.150,0.300,0.0085,0.376693,903,1.0000,0.0000,0.011902,0.075286,0.132315,51.203737,1.1600,1.1200,1.0800,1.0000,1.0000,1.0000,0.017215,0.020074,41.70,51.15,35.22,43.70,-0.005726,41.70,51.15,35.22,43.83,-0.005726,-0.00,0.00,0.00,0.000000,-23.776042,-23.776042,0.000000,0.582126,0.570048,-0.012078,112.711009,113.027557,0.316548,0.281,3717.458364,3995.612458,278.154094,-14.033268,-11.965584,2.067684,-15.858823,-13.960948,1.897875,0.015739,0.356740,0.020264
