rule_id,record_id,utt_id,source_gender,target_direction,group_value,f0_condition,f0_median_hz,confidence,strength_label,alpha_default,alpha_max,action_family,rule_notes,summary_signature,input_audio,original_copy,processed_audio,original_mtime_ns,processed_mtime_ns,original_rms_dbfs,processed_rms_dbfs,delta_rms_dbfs,original_peak_dbfs,processed_peak_dbfs,delta_peak_dbfs,original_clipping_ratio,processed_clipping_ratio,delta_clipping_ratio,original_silence_ratio_40db,processed_silence_ratio_40db,delta_silence_ratio_40db,original_f0_voiced_ratio,processed_f0_voiced_ratio,delta_f0_voiced_ratio,original_f0_median_hz,processed_f0_median_hz,delta_f0_median_hz,delta_f0_median_pct,original_spectral_centroid_hz_mean,processed_spectral_centroid_hz_mean,delta_spectral_centroid_hz_mean,original_log_centroid_minus_log_f0,processed_log_centroid_minus_log_f0,delta_log_centroid_minus_log_f0,original_low_mid_0_1500_share_db,processed_low_mid_0_1500_share_db,delta_low_mid_0_1500_share_db,original_presence_1500_3000_share_db,processed_presence_1500_3000_share_db,delta_presence_1500_3000_share_db,original_brilliance_3000_8000_share_db,processed_brilliance_3000_8000_share_db,delta_brilliance_3000_8000_share_db,waveform_mean_abs_diff,waveform_max_abs_diff,stft_logmag_l1,auto_direction_score,auto_preservation_score,auto_effect_score,auto_quant_score,auto_direction_flag,auto_preservation_flag,auto_audibility_flag,auto_quant_grade,auto_quant_notes,review_status,direction_correct,effect_audible,artifact_issue,strength_fit,keep_recommendation,review_notes
stage0_speech_low_rank_libritts_masculine_v1,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,1919_142785_000089_000003,female,masculine,LibriTTS-R,all,197.776687,diagnostic,diagnostic_low_rank_v1,1.000,1.000,brightness_down,Low-rank envelope v1：重点看 masculine 侧是否终于不再只是整体变暗，而是能给出更像 tract/resonance 的结构变化。,stage0_speech_low_rank_libritts_masculine_v1|libritts_r__1919__1919_142785_000089_000003__11e66c65d9|1919_142785_000089_000003|female|masculine|LibriTTS-R|all|197.776687|diagnostic|diagnostic_low_rank_v1|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1919\142785\1919_142785_000089_000003.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\original\libritts_r__female__masculine__lrank__1919_142785_000089_000003.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\processed\libritts_r__female__masculine__lrank__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1919\142785\1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\original\libritts_r__female__masculine__lrank__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\processed\libritts_r__female__masculine__lrank__1919_142785_000089_000003.wav,1774662523560947500,1774662524391976900,-15.753643,-15.753639,0.000004,-0.915503,-1.058044,-0.142541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.858506,0.861685,0.003179,197.776687,197.025525,-0.751162,-0.380,1681.106148,1616.361314,-64.744834,0.929420,0.914016,-0.015404,-0.110258,-0.099105,0.011153,-17.751608,-18.034686,-0.283078,-21.553909,-22.319497,-0.765588,0.001532,0.035583,0.009752,26.96,100.00,28.22,49.19,fail,safe,weak,fail,effect_subtle,pending,,,,,,
stage0_speech_low_rank_libritts_masculine_v1,libritts_r__1995__1995_1826_000022_000000__82d5a66723,1995_1826_000022_000000,female,masculine,LibriTTS-R,all,188.323017,diagnostic,diagnostic_low_rank_v1,1.000,1.000,brightness_down,Low-rank envelope v1：重点看 masculine 侧是否终于不再只是整体变暗，而是能给出更像 tract/resonance 的结构变化。,stage0_speech_low_rank_libritts_masculine_v1|libritts_r__1995__1995_1826_000022_000000__82d5a66723|1995_1826_000022_000000|female|masculine|LibriTTS-R|all|188.323017|diagnostic|diagnostic_low_rank_v1|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1995\1826\1995_1826_000022_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\original\libritts_r__female__masculine__lrank__1995_1826_000022_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\processed\libritts_r__female__masculine__lrank__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1995\1826\1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\original\libritts_r__female__masculine__lrank__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\processed\libritts_r__female__masculine__lrank__1995_1826_000022_000000.wav,1774662524395005600,1774662525717108100,-14.996729,-14.996727,0.000002,-0.915503,-0.891972,0.023531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.871645,0.878646,0.007001,188.323017,187.674287,-0.648730,-0.344,1834.944651,1779.020789,-55.923862,0.988720,0.976776,-0.011943,-0.118128,-0.101303,0.016825,-21.363153,-21.558426,-0.195273,-17.891850,-18.670392,-0.778543,0.001784,0.075653,0.009767,20.90,100.00,22.89,45.13,fail,safe,weak,fail,direction_weak;effect_subtle,pending,,,,,,
stage0_speech_low_rank_libritts_feminine_v1,libritts_r__174__174_50561_000024_000000__d665dc2840,174_50561_000024_000000,male,feminine,LibriTTS-R,all,127.906902,diagnostic,diagnostic_low_rank_v1,1.000,1.000,brightness_up,Low-rank envelope v1：在共享低秩子空间里做 source->target latent affine 映射，先验证 learned basis 是否比 reference transport 更容易跨过可辨阈值。,stage0_speech_low_rank_libritts_feminine_v1|libritts_r__174__174_50561_000024_000000__d665dc2840|174_50561_000024_000000|male|feminine|LibriTTS-R|all|127.906902|diagnostic|diagnostic_low_rank_v1|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\174\50561\174_50561_000024_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\original\libritts_r__male__feminine__lrank__174_50561_000024_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\processed\libritts_r__male__feminine__lrank__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\174\50561\174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\original\libritts_r__male__feminine__lrank__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\processed\libritts_r__male__feminine__lrank__174_50561_000024_000000.wav,1774662525719611400,1774662526535476300,-19.752349,-19.752343,0.000006,-0.915503,-0.755289,0.160214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.820513,0.842735,0.022222,127.906902,129.257523,1.350621,1.056,1794.238968,1856.208321,61.969353,1.146986,1.157171,0.010185,-0.239004,-0.263567,-0.024563,-14.587360,-14.363029,0.224330,-17.889491,-17.187949,0.701543,0.001446,0.044403,0.008239,38.87,100.00,42.04,58.00,fail,safe,borderline,fail,direction_weak,pending,,,,,,
stage0_speech_low_rank_libritts_feminine_v1,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,2086_149214_000006_000002,male,feminine,LibriTTS-R,all,121.500654,diagnostic,diagnostic_low_rank_v1,1.000,1.000,brightness_up,Low-rank envelope v1：在共享低秩子空间里做 source->target latent affine 映射，先验证 learned basis 是否比 reference transport 更容易跨过可辨阈值。,stage0_speech_low_rank_libritts_feminine_v1|libritts_r__2086__2086_149214_000006_000002__23f1c25eb7|2086_149214_000006_000002|male|feminine|LibriTTS-R|all|121.500654|diagnostic|diagnostic_low_rank_v1|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2086\149214\2086_149214_000006_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\original\libritts_r__male__feminine__lrank__2086_149214_000006_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\processed\libritts_r__male__feminine__lrank__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2086\149214\2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\original\libritts_r__male__feminine__lrank__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\processed\libritts_r__male__feminine__lrank__2086_149214_000006_000002.wav,1774662526539024000,1774662527340556700,-22.191387,-22.191387,0.000000,-0.915503,-0.866161,0.049342,0.000000,0.000000,0.000000,0.042553,0.031915,-0.010638,0.695507,0.677205,-0.018302,121.500654,121.394175,-0.106479,-0.088,1886.762605,1944.316209,57.553604,1.191139,1.204569,0.013430,-0.295539,-0.323617,-0.028078,-13.095644,-12.794068,0.301575,-18.177167,-17.629025,0.548142,0.001251,0.032806,0.007879,39.95,100.00,40.91,58.20,fail,safe,borderline,fail,direction_weak,pending,,,,,,
stage0_speech_low_rank_vctk_masculine_v1,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,p231_011_mic1,female,masculine,VCTK Corpus 0.92,all,185.611475,diagnostic,diagnostic_low_rank_v1,1.000,1.000,brightness_down,Low-rank envelope v1：VCTK masculine 仍按相对保守版起步，先看 learned subspace 能否至少摆脱 8/8 no audible。,stage0_speech_low_rank_vctk_masculine_v1|vctk_corpus_0_92__p231__p231_011_mic1__986481509c|p231_011_mic1|female|masculine|VCTK Corpus 0.92|all|185.611475|diagnostic|diagnostic_low_rank_v1|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p231\p231_011_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\original\vctk__female__masculine__lrank__p231_011_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\processed\vctk__female__masculine__lrank__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p231\p231_011_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\original\vctk__female__masculine__lrank__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\processed\vctk__female__masculine__lrank__p231_011_mic1.wav,1774662527347136300,1774662528322907100,-25.362970,-25.362975,-0.000005,-6.813270,-7.303697,-0.490427,0.000000,0.000000,0.000000,0.001721,0.001721,0.000000,0.659677,0.658065,-0.001612,185.611475,185.647827,0.036352,0.020,3794.253946,3709.073394,-85.180552,1.310522,1.300576,-0.009946,-0.300403,-0.259795,0.040608,-14.202592,-14.702138,-0.499546,-16.488102,-17.229725,-0.741623,0.001240,0.030701,0.005261,17.41,100.00,25.01,44.08,fail,safe,weak,fail,direction_weak;effect_subtle,pending,,,,,,
stage0_speech_low_rank_vctk_masculine_v1,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,p230_107_mic1,female,masculine,VCTK Corpus 0.92,all,189.353497,diagnostic,diagnostic_low_rank_v1,1.000,1.000,brightness_down,Low-rank envelope v1：VCTK masculine 仍按相对保守版起步，先看 learned subspace 能否至少摆脱 8/8 no audible。,stage0_speech_low_rank_vctk_masculine_v1|vctk_corpus_0_92__p230__p230_107_mic1__8330d16640|p230_107_mic1|female|masculine|VCTK Corpus 0.92|all|189.353497|diagnostic|diagnostic_low_rank_v1|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\original\vctk__female__masculine__lrank__p230_107_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\processed\vctk__female__masculine__lrank__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\original\vctk__female__masculine__lrank__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\processed\vctk__female__masculine__lrank__p230_107_mic1.wav,1774662528328316800,1774662528936601100,-28.394677,-28.394668,0.000009,-9.904260,-10.091980,-0.187720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.550000,0.580000,0.030000,189.353497,190.542185,1.188688,0.628,3782.671221,3702.166013,-80.505208,1.300525,1.288465,-0.012061,-0.174650,-0.148330,0.026320,-16.561358,-17.096759,-0.535401,-18.839322,-19.724904,-0.885583,0.000858,0.015869,0.004266,21.11,100.00,26.60,46.15,fail,safe,weak,fail,direction_weak;effect_subtle,pending,,,,,,
stage0_speech_low_rank_vctk_feminine_v1,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,p241_005_mic1,male,feminine,VCTK Corpus 0.92,all,117.153849,diagnostic,diagnostic_low_rank_v1,1.000,1.000,brightness_up,Low-rank envelope v1：VCTK 侧先保守一点，优先看 learned latent affine 是否至少比条件 reference 搬运更可辨。,stage0_speech_low_rank_vctk_feminine_v1|vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2|p241_005_mic1|male|feminine|VCTK Corpus 0.92|all|117.153849|diagnostic|diagnostic_low_rank_v1|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p241\p241_005_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\original\vctk__male__feminine__lrank__p241_005_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\processed\vctk__male__feminine__lrank__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p241\p241_005_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\original\vctk__male__feminine__lrank__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\processed\vctk__male__feminine__lrank__p241_005_mic1.wav,1774662528943127400,1774662529866795500,-23.725211,-23.725210,0.000001,-8.196070,-8.066287,0.129783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.583601,0.583601,0.000000,117.153849,117.071674,-0.082175,-0.070,3713.909886,3789.993566,76.083680,1.501075,1.510187,0.009112,-0.183510,-0.218883,-0.035374,-17.504085,-16.942863,0.561222,-16.593781,-15.719390,0.874391,0.001345,0.022003,0.006922,42.18,100.00,47.77,60.92,borderline,safe,borderline,borderline,direction_weak,pending,,,,,,
stage0_speech_low_rank_vctk_feminine_v1,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,p226_011_mic1,male,feminine,VCTK Corpus 0.92,all,112.711009,diagnostic,diagnostic_low_rank_v1,1.000,1.000,brightness_up,Low-rank envelope v1：VCTK 侧先保守一点，优先看 learned latent affine 是否至少比条件 reference 搬运更可辨。,stage0_speech_low_rank_vctk_feminine_v1|vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f|p226_011_mic1|male|feminine|VCTK Corpus 0.92|all|112.711009|diagnostic|diagnostic_low_rank_v1|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_011_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\original\vctk__male__feminine__lrank__p226_011_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\processed\vctk__male__feminine__lrank__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_011_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\original\vctk__male__feminine__lrank__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_low_rank_envelope_listening_pack\v1\processed\vctk__male__feminine__lrank__p226_011_mic1.wav,1774662529874192700,1774662531440741700,-23.776042,-23.776047,-0.000005,-4.496733,-3.861718,0.635015,0.000000,0.000000,0.000000,0.043814,0.028351,-0.015463,0.582126,0.579710,-0.002416,112.711009,112.448984,-0.262025,-0.232,3717.458364,3784.743754,67.285390,1.518280,1.527081,0.008801,-0.303287,-0.358258,-0.054971,-14.033370,-13.468147,0.565224,-15.858843,-14.994768,0.864075,0.001510,0.047668,0.006138,41.32,100.00,45.90,60.07,borderline,safe,borderline,borderline,direction_weak,pending,,,,,,
