variant_id,description,queue_csv,avg_auto_quant_score,avg_auto_direction_score,avg_auto_effect_score,top_auto_quant_score,strong_pass_rows,pass_rows,borderline_rows,fail_rows,strongish_rows,machine_gate_decision,machine_gate_reason
split_core_focus_v9a,"Direction-split conditioned LSF: masculine narrows width growth to avoid bottle/muffle, feminine trims top-band push and preserves more original air.",F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9_fixed8\split_core_focus_v9a\listening_review_queue.csv,66.99,51.54,67.84,79.47,2,0,4,2,6,allow_human_review,meets_primary_machine_gate
f0_evening_v9b,"Spend more budget on the under-responsive buckets: high-f0 masculine gets extra F2/core push, low-f0 feminine keeps more motion before the air guard ramps up.",F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_machine_sweep_v9_fixed8\f0_evening_v9b\listening_review_queue.csv,63.67,46.64,62.83,79.47,2,0,3,3,5,borderline_review_optional,has_high_top_score_but_pack_average_is_weaker
