rule_id,utt_id,source_gender,target_direction,group_value,f0_condition,f0_median_hz,confidence,strength_label,alpha_default,alpha_max,action_family,rule_notes,summary_signature,input_audio,original_copy,processed_audio,original_mtime_ns,processed_mtime_ns,original_rms_dbfs,processed_rms_dbfs,delta_rms_dbfs,original_peak_dbfs,processed_peak_dbfs,delta_peak_dbfs,original_clipping_ratio,processed_clipping_ratio,delta_clipping_ratio,original_silence_ratio_40db,processed_silence_ratio_40db,delta_silence_ratio_40db,original_f0_voiced_ratio,processed_f0_voiced_ratio,delta_f0_voiced_ratio,original_f0_median_hz,processed_f0_median_hz,delta_f0_median_hz,delta_f0_median_pct,original_spectral_centroid_hz_mean,processed_spectral_centroid_hz_mean,delta_spectral_centroid_hz_mean,original_log_centroid_minus_log_f0,processed_log_centroid_minus_log_f0,delta_log_centroid_minus_log_f0,original_low_mid_0_1500_share_db,processed_low_mid_0_1500_share_db,delta_low_mid_0_1500_share_db,original_presence_1500_3000_share_db,processed_presence_1500_3000_share_db,delta_presence_1500_3000_share_db,original_brilliance_3000_8000_share_db,processed_brilliance_3000_8000_share_db,delta_brilliance_3000_8000_share_db,waveform_mean_abs_diff,waveform_max_abs_diff,stft_logmag_l1,auto_direction_score,auto_preservation_score,auto_effect_score,auto_quant_score,auto_direction_flag,auto_preservation_flag,auto_audibility_flag,auto_quant_grade,auto_quant_notes,review_status,direction_correct,effect_audible,artifact_issue,strength_fit,keep_recommendation,review_notes
stage0_speech_formant_libritts_masculine_v2,1919_142785_000089_000003,female,masculine,LibriTTS-R,all,197.776687,diagnostic,diagnostic_formant_anchor_v2,1.000,1.000,brightness_down,v2: masculine 侧改成更显式的三锚点下移，目标是增加胸腔/咽腔感，而不是把整体音调感拉低。,stage0_speech_formant_libritts_masculine_v2|1919_142785_000089_000003|female|masculine|LibriTTS-R|all|197.776687|diagnostic|diagnostic_formant_anchor_v2|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1919\142785\1919_142785_000089_000003.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\original\libritts_r__female__masculine__formant__1919_142785_000089_000003.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\processed\libritts_r__female__masculine__formant__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\1919\142785\1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\original\libritts_r__female__masculine__formant__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\processed\libritts_r__female__masculine__formant__1919_142785_000089_000003.wav,1774545208037355600,1774545208425868700,-15.753643,-14.903119,0.850524,-0.915503,-0.175381,0.740122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.858506,0.852146,-0.006360,197.776687,199.400365,1.623678,0.821,1681.106148,1633.691204,-47.414944,0.929420,0.913444,-0.015976,-0.110258,-0.120400,-0.010142,-17.751608,-16.796178,0.955430,-21.553909,-22.663818,-1.109909,0.015075,0.166595,0.014797,28.26,98.59,26.60,48.94,fail,safe,weak,fail,effect_subtle,pending,,,,,,
stage0_speech_formant_libritts_masculine_v2,1995_1826_000022_000000,female,masculine,LibriTTS-R,all,188.323017,diagnostic,diagnostic_formant_anchor_v2,1.000,1.000,brightness_down,v2: masculine 侧改成更显式的三锚点下移，目标是增加胸腔/咽腔感，而不是把整体音调感拉低。,stage0_speech_formant_libritts_masculine_v2|1995_1826_000022_000000|female|masculine|LibriTTS-R|all|188.323017|diagnostic|diagnostic_formant_anchor_v2|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1995\1826\1995_1826_000022_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\original\libritts_r__female__masculine__formant__1995_1826_000022_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\processed\libritts_r__female__masculine__formant__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\test-clean\1995\1826\1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\original\libritts_r__female__masculine__formant__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\processed\libritts_r__female__masculine__formant__1995_1826_000022_000000.wav,1774545208429874500,1774545208719082700,-14.996729,-15.167891,-0.171162,-0.915503,-0.175381,0.740122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.871645,0.871645,0.000000,188.323017,189.614211,1.291194,0.686,1834.944651,1794.786078,-40.158573,0.988720,0.976142,-0.012578,-0.118128,-0.104469,0.013659,-21.363153,-20.341798,1.021355,-17.891850,-19.177010,-1.285161,0.012937,0.132782,0.022387,22.01,100.00,21.49,45.28,fail,safe,weak,fail,direction_weak;effect_subtle,pending,,,,,,
stage0_speech_formant_libritts_feminine_v2,174_50561_000024_000000,male,feminine,LibriTTS-R,all,127.906902,diagnostic,diagnostic_formant_anchor_v2,1.000,1.000,brightness_up,v2: feminine 侧使用三锚点局部共鸣上移，明显强于 v1，但仍保留原始相位与谐波细节，不做整体 envelope 拉伸。,stage0_speech_formant_libritts_feminine_v2|174_50561_000024_000000|male|feminine|LibriTTS-R|all|127.906902|diagnostic|diagnostic_formant_anchor_v2|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\174\50561\174_50561_000024_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\original\libritts_r__male__feminine__formant__174_50561_000024_000000.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\processed\libritts_r__male__feminine__formant__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\174\50561\174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\original\libritts_r__male__feminine__formant__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\processed\libritts_r__male__feminine__formant__174_50561_000024_000000.wav,1774545208721084100,1774545208903884000,-19.752349,-19.573661,0.178688,-0.915503,-0.175652,0.739851,0.000000,0.000000,0.000000,0.000000,0.003650,0.003650,0.820513,0.829060,0.008547,127.906902,129.045626,1.138724,0.890,1794.238968,1797.820633,3.581665,1.146986,1.144003,-0.002983,-0.239004,-0.262230,-0.023226,-14.587360,-14.181971,0.405389,-17.889491,-17.313514,0.575977,0.009814,0.227905,0.021065,17.28,100.00,21.49,43.15,fail,safe,weak,fail,direction_weak;effect_subtle,pending,,,,,,
stage0_speech_formant_libritts_feminine_v2,2086_149214_000006_000002,male,feminine,LibriTTS-R,all,121.500654,diagnostic,diagnostic_formant_anchor_v2,1.000,1.000,brightness_up,v2: feminine 侧使用三锚点局部共鸣上移，明显强于 v1，但仍保留原始相位与谐波细节，不做整体 envelope 拉伸。,stage0_speech_formant_libritts_feminine_v2|2086_149214_000006_000002|male|feminine|LibriTTS-R|all|121.500654|diagnostic|diagnostic_formant_anchor_v2|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2086\149214\2086_149214_000006_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\original\libritts_r__male__feminine__formant__2086_149214_000006_000002.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\processed\libritts_r__male__feminine__formant__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\libritts_r\raw\LibriTTS_R\dev-clean\2086\149214\2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\original\libritts_r__male__feminine__formant__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\processed\libritts_r__male__feminine__formant__2086_149214_000006_000002.wav,1774545208906989800,1774545209088777600,-22.191387,-21.991619,0.199768,-0.915503,-0.175381,0.740122,0.000000,0.000000,0.000000,0.042553,0.049645,0.007092,0.695507,0.673877,-0.021630,121.500654,121.281622,-0.219032,-0.180,1886.762605,1909.659157,22.896552,1.191139,1.197161,0.006022,-0.295539,-0.355947,-0.060408,-13.095644,-12.567731,0.527913,-18.177167,-16.546415,1.630752,0.006141,0.160461,0.017921,40.54,100.00,40.58,58.39,borderline,safe,borderline,borderline,direction_weak,pending,,,,,,
stage0_speech_formant_vctk_masculine_v2,p231_011_mic1,female,masculine,VCTK Corpus 0.92,all,185.611475,diagnostic,diagnostic_formant_anchor_v2,1.000,1.000,brightness_down,v2: VCTK masculine 侧同步加强，但保留略宽带宽，减少机械尖峰感。,stage0_speech_formant_vctk_masculine_v2|p231_011_mic1|female|masculine|VCTK Corpus 0.92|all|185.611475|diagnostic|diagnostic_formant_anchor_v2|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p231\p231_011_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\original\vctk__female__masculine__formant__p231_011_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\processed\vctk__female__masculine__formant__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p231\p231_011_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\original\vctk__female__masculine__formant__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\processed\vctk__female__masculine__formant__p231_011_mic1.wav,1774545209093779900,1774545209476814300,-25.362970,-24.364000,0.998970,-6.813270,-4.738042,2.075228,0.000000,0.000000,0.000000,0.001721,0.008606,0.006885,0.659677,0.661290,0.001613,185.611475,186.224163,0.612688,0.330,3794.253946,3691.851950,-102.401996,1.310522,1.297208,-0.013313,-0.300403,-0.293427,0.006976,-14.202592,-13.923054,0.279539,-16.488102,-17.047521,-0.559419,0.004527,0.143555,0.005199,23.30,96.51,30.50,47.06,fail,safe,borderline,fail,direction_weak,pending,,,,,,
stage0_speech_formant_vctk_masculine_v2,p230_107_mic1,female,masculine,VCTK Corpus 0.92,all,189.353497,diagnostic,diagnostic_formant_anchor_v2,1.000,1.000,brightness_down,v2: VCTK masculine 侧同步加强，但保留略宽带宽，减少机械尖峰感。,stage0_speech_formant_vctk_masculine_v2|p230_107_mic1|female|masculine|VCTK Corpus 0.92|all|189.353497|diagnostic|diagnostic_formant_anchor_v2|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\original\vctk__female__masculine__formant__p230_107_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\processed\vctk__female__masculine__formant__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p230\p230_107_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\original\vctk__female__masculine__formant__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\processed\vctk__female__masculine__formant__p230_107_mic1.wav,1774545209481042400,1774545209730801000,-28.394677,-27.746832,0.647845,-9.904260,-9.365839,0.538421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.550000,0.527500,-0.022500,189.353497,191.879309,2.525812,1.334,3782.671221,3709.428472,-73.242749,1.300525,1.286279,-0.014246,-0.174650,-0.190384,-0.015734,-16.561358,-15.703639,0.857719,-18.839322,-19.098459,-0.259137,0.002249,0.038666,0.003936,25.40,100.00,28.05,48.44,fail,safe,weak,fail,direction_weak;effect_subtle,pending,,,,,,
stage0_speech_formant_vctk_feminine_v2,p241_005_mic1,male,feminine,VCTK Corpus 0.92,all,117.153849,diagnostic,diagnostic_formant_anchor_v2,1.000,1.000,brightness_up,v2: VCTK feminine 侧同步改成三锚点上移，但略收一档，避免直接滑向尖锐感。,stage0_speech_formant_vctk_feminine_v2|p241_005_mic1|male|feminine|VCTK Corpus 0.92|all|117.153849|diagnostic|diagnostic_formant_anchor_v2|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p241\p241_005_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\original\vctk__male__feminine__formant__p241_005_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\processed\vctk__male__feminine__formant__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p241\p241_005_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\original\vctk__male__feminine__formant__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\processed\vctk__male__feminine__formant__p241_005_mic1.wav,1774545209735054100,1774545210122040300,-23.725211,-22.553438,1.171773,-8.196070,-6.869207,1.326863,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.583601,0.601286,0.017685,117.153849,118.056036,0.902187,0.770,3713.909886,3636.911956,-76.997930,1.501075,1.488645,-0.012430,-0.183510,-0.202426,-0.018916,-17.504085,-17.419308,0.084777,-16.593781,-15.830990,0.762791,0.006679,0.090729,0.007245,22.88,94.10,48.69,50.70,fail,safe,borderline,fail,wrong_direction,pending,,,,,,
stage0_speech_formant_vctk_feminine_v2,p226_011_mic1,male,feminine,VCTK Corpus 0.92,all,112.711009,diagnostic,diagnostic_formant_anchor_v2,1.000,1.000,brightness_up,v2: VCTK feminine 侧同步改成三锚点上移，但略收一档，避免直接滑向尖锐感。,stage0_speech_formant_vctk_feminine_v2|p226_011_mic1|male|feminine|VCTK Corpus 0.92|all|112.711009|diagnostic|diagnostic_formant_anchor_v2|1.000|1.000|F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_011_mic1.flac|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\original\vctk__male__feminine__formant__p226_011_mic1.wav|F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\processed\vctk__male__feminine__formant__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\data\datasets\speech\vctk\raw\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_011_mic1.flac,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\original\vctk__male__feminine__formant__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_formant_listening_pack\v2\processed\vctk__male__feminine__formant__p226_011_mic1.wav,1774545210128438500,1774545210583972400,-23.776042,-22.993121,0.782921,-4.496733,-2.394785,2.101948,0.000000,0.000000,0.000000,0.043814,0.070876,0.027062,0.582126,0.583333,0.001207,112.711009,112.960425,0.249416,0.221,3717.458364,3669.068810,-48.389554,1.518280,1.511630,-0.006650,-0.303287,-0.411613,-0.108326,-14.033370,-12.832505,1.200865,-15.858843,-14.358438,1.500405,0.004962,0.193115,0.006851,30.00,99.54,44.76,54.55,fail,safe,borderline,fail,wrong_direction,pending,,,,,,
