summary_label,rows,avg_carrier_target_shift_score,avg_target_log_mel_mae,avg_source_probe_structure_risk_score,avg_target_probe_structure_risk_score,avg_edit_added_structure_risk,top_target_risk_records
v1_fixed8_v9a_bigvgan_11025_anchor075_blend075_pc150_cap200_full8,8,45.10,0.5693,21.13,45.76,24.63,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640;libritts_r__2086__2086_149214_000006_000002__23f1c25eb7;libritts_r__1919__1919_142785_000089_000003__11e66c65d9
v1_fixed8_v9a_bigvgan_11025_anchor075_binmask010_occ005_blend075_pc150_cap200_full8,8,38.72,0.5440,21.13,36.62,15.49,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640;libritts_r__2086__2086_149214_000006_000002__23f1c25eb7;libritts_r__1919__1919_142785_000089_000003__11e66c65d9
v1_fixed8_v9a_bigvgan_11025_anchor075_binmask015_occ005_blend075_pc150_cap200_full8,8,39.73,0.5442,21.13,35.61,14.48,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640;libritts_r__2086__2086_149214_000006_000002__23f1c25eb7;libritts_r__1919__1919_142785_000089_000003__11e66c65d9
v1_fixed8_v9a_bigvgan_11025_anchor075_binmask020_occ005_blend075_pc150_cap200_full8,8,38.15,0.5460,21.13,35.45,14.32,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640;libritts_r__2086__2086_149214_000006_000002__23f1c25eb7;libritts_r__1919__1919_142785_000089_000003__11e66c65d9
