rule_id,record_id,group_value,source_gender,target_direction,original_copy,observed_processed_audio,reconstructed_audio,core_step_size,off_core_step_size,frame_smoothness_weight,max_bin_step,prototype_weight_sum,fit_voiced_frame_count,fit_success_rate,frame_passthrough_rate,mean_target_fit_l1,mean_core_fit_l1,mean_highband_preservation_error,mean_lsf_movement_hz,mean_pair1_center_ratio,mean_pair2_center_ratio,mean_pair3_center_ratio,mean_pair1_width_ratio,mean_pair2_width_ratio,mean_pair3_width_ratio,original_to_target_emd,reconstructed_to_target_emd,reconstructed_resonance_distribution_shift_score,reconstructed_core_resonance_coverage_score,reconstructed_over_localized_edit_penalty,reconstructed_context_consistency_score,reconstructed_frame_improvement_mean,observed_resonance_distribution_shift_score,observed_core_resonance_coverage_score,observed_over_localized_edit_penalty,observed_context_consistency_score,observed_frame_improvement_mean,delta_shift_vs_observed,delta_coverage_vs_observed,delta_penalty_vs_observed,delta_frame_improvement_vs_observed,original_rms_dbfs,reconstructed_rms_dbfs,delta_rms_dbfs,original_f0_voiced_ratio,reconstructed_f0_voiced_ratio,delta_f0_voiced_ratio,original_f0_median_hz,reconstructed_f0_median_hz,delta_f0_median_hz,delta_f0_median_pct,original_spectral_centroid_hz_mean,reconstructed_spectral_centroid_hz_mean,delta_spectral_centroid_hz_mean,original_presence_1500_3000_share_db,reconstructed_presence_1500_3000_share_db,delta_presence_1500_3000_share_db,original_brilliance_3000_8000_share_db,reconstructed_brilliance_3000_8000_share_db,delta_brilliance_3000_8000_share_db,waveform_mean_abs_diff,waveform_max_abs_diff,stft_logmag_l1
stage0_speech_lsf_libritts_masculine_v7,libritts_r__1919__1919_142785_000089_000003__11e66c65d9,LibriTTS-R,female,masculine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\libritts_r__female__masculine__lsf__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\libritts_r__female__masculine__lsf__1919_142785_000089_000003.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v5\reconstructed\libritts_r__female__masculine__atrr_lsf__1919_142785_000089_000003.wav,0.500,0.150,0.300,0.0085,0.063721,505,0.2653,0.7347,0.011218,0.071431,0.003674,1.642495,0.9941,0.9704,1.0000,1.0197,1.0473,1.0000,0.040774,0.040480,50.36,51.92,35.88,71.79,0.000796,51.04,42.67,25.83,50.00,-0.002936,-0.68,9.25,10.05,0.003732,-15.753643,-15.753643,0.000000,0.858506,0.860095,0.001589,197.776687,197.743227,-0.033460,-0.017,1681.106148,1697.404777,16.298629,-17.751355,-17.561488,0.189867,-21.553867,-21.360860,0.193008,0.009915,0.307569,0.008345
stage0_speech_lsf_libritts_masculine_v7,libritts_r__1995__1995_1826_000022_000000__82d5a66723,LibriTTS-R,female,masculine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\libritts_r__female__masculine__lsf__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\libritts_r__female__masculine__lsf__1995_1826_000022_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v5\reconstructed\libritts_r__female__masculine__atrr_lsf__1995_1826_000022_000000.wav,0.500,0.150,0.300,0.0085,0.102937,701,0.1227,0.8773,0.012126,0.071938,0.002316,0.979197,0.9990,0.9950,1.0000,1.0034,1.0080,1.0000,0.033922,0.033361,50.83,51.58,34.37,64.96,0.000412,45.31,30.56,21.78,45.81,-0.000464,5.52,21.02,12.59,0.000876,-14.996729,-14.996729,0.000000,0.871645,0.873979,0.002334,188.323017,188.323017,0.000000,0.000,1834.944651,1845.607038,10.662387,-21.363218,-21.138346,0.224872,-17.891840,-17.704362,0.187478,0.007575,0.390707,0.006701
stage0_speech_lsf_libritts_feminine_v7,libritts_r__174__174_50561_000024_000000__d665dc2840,LibriTTS-R,male,feminine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\libritts_r__male__feminine__lsf__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\libritts_r__male__feminine__lsf__174_50561_000024_000000.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v5\reconstructed\libritts_r__male__feminine__atrr_lsf__174_50561_000024_000000.wav,0.500,0.150,0.300,0.0085,0.062269,448,0.0625,0.9375,0.013785,0.084864,0.006101,0.912255,1.0033,1.0024,1.0015,1.0000,1.0000,1.0000,0.045674,0.046035,49.61,69.84,33.50,55.58,0.000273,35.77,42.31,18.62,53.74,-0.007261,13.84,27.53,14.88,0.007534,-19.752349,-19.752349,0.000000,0.820513,0.820513,0.000000,127.906902,127.906902,0.000000,0.000,1794.238968,1813.465380,19.226412,-14.586971,-14.454146,0.132824,-17.889405,-17.724160,0.165244,0.001999,0.173623,0.003759
stage0_speech_lsf_libritts_feminine_v7,libritts_r__2086__2086_149214_000006_000002__23f1c25eb7,LibriTTS-R,male,feminine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\libritts_r__male__feminine__lsf__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\libritts_r__male__feminine__lsf__2086_149214_000006_000002.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v5\reconstructed\libritts_r__male__feminine__atrr_lsf__2086_149214_000006_000002.wav,0.500,0.150,0.300,0.0085,0.104389,391,0.0281,0.9719,0.012419,0.102170,0.003108,0.580372,1.0017,1.0013,1.0008,1.0000,1.0000,1.0000,0.032772,0.032502,50.41,73.07,41.40,57.54,-0.000317,26.96,36.83,17.98,44.76,-0.009977,23.45,36.24,23.42,0.009660,-22.191387,-22.191388,-0.000001,0.695507,0.688852,-0.006655,121.500654,121.330058,-0.170596,-0.140,1886.762605,1889.616118,2.853513,-13.095536,-13.082502,0.013034,-18.177207,-18.148264,0.028943,0.000228,0.046436,0.000872
stage0_speech_lsf_vctk_masculine_v7,vctk_corpus_0_92__p231__p231_011_mic1__986481509c,VCTK Corpus 0.92,female,masculine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\vctk__female__masculine__lsf__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\vctk__female__masculine__lsf__p231_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v5\reconstructed\vctk__female__masculine__atrr_lsf__p231_011_mic1.wav,0.500,0.150,0.300,0.0085,0.142990,767,0.1030,0.8970,0.011465,0.054376,0.000226,0.527244,0.9955,0.9830,1.0000,1.0090,1.0294,1.0000,0.019670,0.019040,51.60,75.84,42.65,51.91,0.000455,53.93,61.91,28.47,62.83,0.002843,-2.33,13.93,14.18,-0.002388,-25.362970,-25.362971,-0.000001,0.659677,0.641935,-0.017742,185.611475,185.737201,0.125726,0.068,3794.253946,3789.498282,-4.755664,-14.202583,-14.196068,0.006515,-16.488064,-16.504761,-0.016697,0.001032,0.103173,0.001134
stage0_speech_lsf_vctk_masculine_v7,vctk_corpus_0_92__p230__p230_107_mic1__8330d16640,VCTK Corpus 0.92,female,masculine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\vctk__female__masculine__lsf__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\vctk__female__masculine__lsf__p230_107_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v5\reconstructed\vctk__female__masculine__atrr_lsf__p230_107_mic1.wav,0.500,0.150,0.300,0.0085,0.612401,413,0.0920,0.9080,0.009366,0.060745,0.000344,0.511981,0.9957,0.9839,1.0000,1.0086,1.0279,1.0000,0.014656,0.014424,50.79,61.74,48.57,52.21,-0.000091,36.02,30.05,26.42,34.21,-0.003596,14.77,31.69,22.15,0.003505,-28.394677,-28.394677,0.000000,0.550000,0.525000,-0.025000,189.353497,191.717822,2.364325,1.249,3782.671221,3784.925364,2.254143,-16.561353,-16.601189,-0.039837,-18.839309,-19.100141,-0.260832,0.000299,0.032285,0.000951
stage0_speech_lsf_vctk_feminine_v7,vctk_corpus_0_92__p241__p241_005_mic1__21df46b3a2,VCTK Corpus 0.92,male,feminine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\vctk__male__feminine__lsf__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\vctk__male__feminine__lsf__p241_005_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v5\reconstructed\vctk__male__feminine__atrr_lsf__p241_005_mic1.wav,0.500,0.150,0.300,0.0085,0.378698,681,0.0059,0.9941,0.012251,0.063318,0.000085,0.075368,1.0009,1.0007,1.0004,1.0000,1.0000,1.0000,0.018391,0.018391,50.00,91.36,51.63,53.00,0.000009,16.41,74.76,35.29,22.75,-0.010689,33.59,16.60,16.34,0.010698,-23.725213,-23.725211,0.000002,0.583601,0.593248,0.009647,117.153849,117.676709,0.522860,0.446,3713.909886,3716.192126,2.282240,-17.504322,-17.504163,0.000159,-16.593773,-16.593626,0.000147,0.000015,0.012207,0.000056
stage0_speech_lsf_vctk_feminine_v7,vctk_corpus_0_92__p226__p226_011_mic1__8ef2d6c73f,VCTK Corpus 0.92,male,feminine,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\original\vctk__male__feminine__lsf__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_lsf_listening_pack\v7\processed\vctk__male__feminine__lsf__p226_011_mic1.wav,F:\proj_dev\tmp\workdir4-2\artifacts\diagnostics\atrr_lsf_reconstruction_prototype_v5\reconstructed\vctk__male__feminine__atrr_lsf__p226_011_mic1.wav,0.500,0.150,0.300,0.0085,0.376693,903,0.0343,0.9657,0.010580,0.074369,0.001761,0.690113,1.0046,1.0035,1.0023,1.0000,1.0000,1.0000,0.017215,0.017190,50.07,84.73,50.35,58.30,0.000273,41.70,51.15,35.22,43.83,-0.005726,8.37,33.58,15.13,0.005999,-23.776042,-23.776042,0.000000,0.582126,0.583333,0.001207,112.711009,112.543268,-0.167741,-0.149,3717.458364,3731.012698,13.554334,-14.033268,-14.027980,0.005288,-15.858823,-15.848877,0.009946,0.000176,0.057386,0.000420
